System Num, Configuration
2201,2245,
2202,2252,
2203,2266,
2204,2205,
2205,2295,
2206,2272,
2207,2268,
2208,2227,
2209,2236,
2210,2205,
2211,2217,
2212,2208,
2213,2225,
2214,2249,
2215,2261,
2216,2222,
2217,2253,
2218,2267,
2219,2257,
2220,2284,
2221,2257,
2222,2221,
2223,2273,
2224,2253,
2225,2296,
2226,2290,
2227,2297,
2228,2274,
2229,2263,
2230,2251,
2231,2247,
2232,2208,
2233,2225,
2234,2212,
2235,2235,
2236,2207,
2237,2255,
2238,2220,
2239,2263,
2240,2240,
2241,2231,
2242,2245,
2243,2288,
2244,2270,
2245,2222,
2246,2258,
2247,2289,
2248,2293,
2249,2244,
2250,2259,
2251,2295,
2252,2228,
2253,2296,
2254,2235,
2255,2282,
2256,2208,
2257,2238,
2258,2222,
2259,2236,
2260,2210,
2261,2282,
2262,2259,
2263,2296,
2264,2298,
2265,2281,
2266,2281,
2267,2231,
2268,2255,
2269,2214,
2270,2285,
2271,2207,
2272,2239,
2273,2267,
2274,2278,
2275,2287,
2276,2271,
2277,2263,
2278,2261,
2279,2211,
2280,2215,
2281,2218,
2282,2205,
2283,2237,
2284,2240,
2285,2212,
2286,2208,
2287,2246,
2288,2272,
2289,2238,
2290,2277,
2291,2237,
2292,2232,
2293,2290,
2294,2290,
2295,2245,
2296,2253,
2297,2286,
2298,2262,
2299,2249,
2300,2280,
