System Num, Configuration
701,784,
702,719,
703,760,
704,751,
705,772,
706,781,
707,716,
708,735,
709,747,
710,765,
711,707,
712,787,
713,703,
714,752,
715,712,
716,774,
717,785,
718,770,
719,776,
720,753,
721,715,
722,749,
723,785,
724,794,
725,775,
726,796,
727,751,
728,794,
729,765,
730,776,
731,784,
732,726,
733,784,
734,746,
735,760,
736,727,
737,754,
738,718,
739,720,
740,735,
741,783,
742,721,
743,792,
744,772,
745,767,
746,710,
747,799,
748,792,
749,707,
750,732,
751,749,
752,707,
753,772,
754,784,
755,785,
756,734,
757,774,
758,781,
759,702,
760,780,
761,765,
762,731,
763,725,
764,782,
765,781,
766,755,
767,772,
768,744,
769,703,
770,701,
771,705,
772,779,
773,797,
774,716,
775,774,
776,719,
777,711,
778,743,
779,737,
780,771,
781,797,
782,763,
783,766,
784,740,
785,753,
786,720,
787,720,
788,711,
789,769,
790,784,
791,709,
792,750,
793,770,
794,782,
795,745,
796,725,
797,748,
798,708,
799,746,
800,765,
