System Num, Configuration
901,974,
902,979,
903,940,
904,939,
905,973,
906,987,
907,959,
908,977,
909,942,
910,933,
911,971,
912,993,
913,994,
914,960,
915,913,
916,978,
917,913,
918,943,
919,946,
920,999,
921,912,
922,943,
923,935,
924,937,
925,922,
926,958,
927,917,
928,941,
929,969,
930,946,
931,945,
932,938,
933,969,
934,941,
935,966,
936,926,
937,923,
938,935,
939,941,
940,967,
941,988,
942,998,
943,998,
944,917,
945,957,
946,910,
947,952,
948,933,
949,959,
950,998,
951,907,
952,997,
953,972,
954,965,
955,927,
956,901,
957,956,
958,982,
959,982,
960,918,
961,911,
962,980,
963,931,
964,949,
965,995,
966,962,
967,942,
968,901,
969,930,
970,916,
971,980,
972,942,
973,955,
974,942,
975,939,
976,930,
977,966,
978,958,
979,950,
980,974,
981,963,
982,977,
983,935,
984,1000,
985,923,
986,907,
987,995,
988,985,
989,990,
990,1000,
991,936,
992,942,
993,968,
994,930,
995,982,
996,945,
997,943,
998,946,
999,983,
1000,998,
