System Num, Configuration
2001,2001,
2002,2084,
2003,2065,
2004,2052,
2005,2011,
2006,2096,
2007,2087,
2008,2035,
2009,2026,
2010,2031,
2011,2076,
2012,2031,
2013,2031,
2014,2053,
2015,2010,
2016,2022,
2017,2009,
2018,2042,
2019,2058,
2020,2071,
2021,2013,
2022,2094,
2023,2014,
2024,2049,
2025,2096,
2026,2029,
2027,2074,
2028,2044,
2029,2088,
2030,2019,
2031,2038,
2032,2060,
2033,2066,
2034,2080,
2035,2087,
2036,2086,
2037,2031,
2038,2046,
2039,2092,
2040,2078,
2041,2028,
2042,2019,
2043,2008,
2044,2079,
2045,2017,
2046,2019,
2047,2063,
2048,2035,
2049,2091,
2050,2075,
2051,2009,
2052,2071,
2053,2099,
2054,2071,
2055,2098,
2056,2059,
2057,2043,
2058,2059,
2059,2026,
2060,2038,
2061,2042,
2062,2076,
2063,2052,
2064,2068,
2065,2051,
2066,2059,
2067,2045,
2068,2017,
2069,2082,
2070,2019,
2071,2080,
2072,2026,
2073,2001,
2074,2052,
2075,2066,
2076,2044,
2077,2100,
2078,2028,
2079,2026,
2080,2066,
2081,2044,
2082,2077,
2083,2061,
2084,2017,
2085,2005,
2086,2018,
2087,2029,
2088,2090,
2089,2010,
2090,2019,
2091,2041,
2092,2039,
2093,2086,
2094,2056,
2095,2067,
2096,2031,
2097,2093,
2098,2041,
2099,2029,
2100,2011,
