System Num, Configuration
1901,1929,
1902,1902,
1903,1903,
1904,1913,
1905,1983,
1906,1992,
1907,1936,
1908,1967,
1909,1947,
1910,1961,
1911,1978,
1912,1971,
1913,1908,
1914,1982,
1915,1910,
1916,1939,
1917,1995,
1918,1983,
1919,1923,
1920,1941,
1921,1914,
1922,1955,
1923,1902,
1924,1926,
1925,1934,
1926,1902,
1927,1947,
1928,1948,
1929,1920,
1930,1949,
1931,1911,
1932,1951,
1933,1914,
1934,1936,
1935,1954,
1936,1963,
1937,1962,
1938,1927,
1939,1933,
1940,1959,
1941,1997,
1942,1922,
1943,1950,
1944,1923,
1945,1934,
1946,1930,
1947,1991,
1948,1995,
1949,1940,
1950,1937,
1951,1992,
1952,1979,
1953,1954,
1954,1903,
1955,1992,
1956,1959,
1957,1947,
1958,1903,
1959,1908,
1960,1932,
1961,1935,
1962,1993,
1963,1932,
1964,1986,
1965,1913,
1966,1954,
1967,1914,
1968,1902,
1969,1937,
1970,1999,
1971,1925,
1972,1907,
1973,1957,
1974,1956,
1975,1940,
1976,1952,
1977,1949,
1978,1940,
1979,1933,
1980,1973,
1981,1917,
1982,1945,
1983,1941,
1984,1979,
1985,1957,
1986,1937,
1987,1932,
1988,1983,
1989,1940,
1990,1960,
1991,1929,
1992,1923,
1993,1980,
1994,1966,
1995,1948,
1996,1916,
1997,1937,
1998,1934,
1999,1973,
2000,1992,
