Observable Num, Coverable Configurations
176,352-355-359-360-361-362-366-368-369-373-374-377-380-381-388-390-391-397-399-400-,
177,351-353-355-356-357-359-361-362-363-366-368-370-371-374-375-376-377-378-379-380-382-383-385-387-388-393-394-398-399-,
178,351-352-353-354-357-361-362-363-365-366-368-369-370-371-373-375-376-377-378-379-381-383-384-385-387-388-391-392-393-399-400-,
179,353-355-356-357-360-362-363-364-365-366-367-370-372-373-374-377-378-381-382-383-384-385-391-394-395-396-398-400-,
180,351-352-353-354-357-358-361-362-364-365-366-367-368-378-379-381-385-386-387-391-392-394-397-400-,
181,351-353-356-359-360-361-362-364-369-372-373-374-375-376-381-382-385-386-387-388-389-392-394-395-400-,
182,352-353-362-365-371-372-374-378-380-381-383-384-387-389-393-398-400-,
183,352-356-360-362-364-365-366-367-368-370-371-373-375-377-378-379-380-381-382-385-388-389-390-391-392-393-396-397-398-399-400-,
184,351-352-353-358-361-362-363-364-366-367-374-380-383-385-387-388-391-393-394-396-397-398-400-,
185,351-353-354-357-360-367-368-369-370-371-374-377-380-381-383-384-386-387-388-389-390-391-394-395-399-,
186,351-354-355-356-357-361-362-363-364-366-371-373-374-376-378-380-383-386-389-392-393-394-,
187,354-357-358-359-363-364-367-368-372-374-375-380-382-383-385-390-392-395-397-398-,
188,351-354-356-357-359-361-363-367-371-372-378-379-380-381-382-383-384-386-387-388-393-399-,
189,352-353-356-361-363-364-365-366-367-371-372-373-374-376-377-378-380-382-383-384-385-386-389-390-393-394-397-,
190,352-356-358-359-361-366-373-374-377-379-381-384-385-390-392-394-396-398-,
191,351-354-355-357-358-359-363-364-369-371-373-374-376-377-379-380-381-384-385-387-389-391-393-396-397-400-,
192,351-352-353-359-361-362-363-364-366-374-383-385-386-387-390-391-395-396-397-398-400-,
193,351-352-356-357-362-365-368-369-373-374-377-379-380-381-384-387-389-391-392-395-,
194,351-352-353-354-355-358-359-360-364-365-366-367-368-369-370-373-374-375-377-378-379-380-384-385-390-391-392-395-396-397-398-399-400-,
195,352-353-354-356-357-358-359-361-366-367-368-370-371-375-377-378-380-381-383-386-391-393-394-395-396-397-398-399-,
196,356-358-359-360-363-365-367-368-369-370-372-374-375-377-378-379-380-382-383-386-388-395-396-399-400-,
197,353-354-356-357-359-361-362-363-365-366-368-369-370-374-376-379-381-382-385-386-390-393-394-398-399-,
198,351-352-354-355-356-364-367-368-369-372-373-375-377-378-379-380-381-382-383-385-389-390-391-400-,
199,351-352-353-354-355-356-360-361-362-363-365-367-373-374-376-378-382-385-387-392-393-394-397-398-400-,
200,351-352-353-354-356-357-361-362-368-369-370-371-374-378-379-380-381-383-385-395-396-397-398-400-,
