Observable Num, Coverable Configurations
171,342-343-344-347-348-349-352-357-359-,
172,341-342-343-344-347-350-351-353-355-358-359-,
173,341-343-346-349-353-354-358-359-360-,
174,341-342-343-344-345-346-347-351-353-354-357-359-360-,
175,341-342-344-345-350-351-352-354-355-356-357-358-359-,
176,342-344-345-347-350-351-352-353-358-359-,
177,341-342-344-346-347-349-351-354-357-358-,
178,341-342-343-344-345-347-353-355-357-359-360-,
179,343-344-345-346-348-351-352-353-354-357-,
180,344-345-346-349-350-352-355-356-358-359-,
