Observable Num, Coverable Configurations
211,421-423-426-427-428-432-434-438-,
212,423-424-426-429-431-432-434-435-436-437-438-,
213,421-422-423-424-425-426-428-429-430-431-434-435-437-438-440-,
214,424-425-428-429-430-433-435-437-438-439-,
215,421-423-424-426-427-428-429-431-432-433-434-437-,
216,421-422-423-428-429-430-431-434-435-437-438-439-,
217,421-423-424-425-429-430-431-434-436-437-,
218,422-426-428-430-431-432-434-436-437-438-439-,
219,421-424-425-427-430-433-437-438-439-440-,
220,425-428-432-433-436-437-440-,
