Observable Num, Coverable Configurations
221,551-553-554-555-556-557-563-564-565-566-568-569-570-571-575-576-577-578-579-580-581-582-583-589-590-595-598-599-600-,
222,551-552-555-556-557-565-567-568-570-573-575-583-584-588-589-590-591-597-598-600-,
223,551-556-557-559-562-563-568-569-570-573-577-582-583-584-585-586-588-590-591-592-594-595-596-598-599-,
224,551-552-553-554-556-559-560-563-564-566-567-570-571-573-575-577-580-582-584-586-589-590-591-593-595-596-598-600-,
225,553-555-556-560-562-564-568-570-571-572-573-577-578-579-581-582-584-585-586-587-588-590-591-592-595-597-598-599-600-,
226,555-560-565-566-569-570-572-573-574-575-577-578-579-584-586-587-588-589-590-591-593-594-595-596-598-599-600-,
227,551-554-557-558-563-565-566-569-570-571-573-574-576-578-579-580-582-583-584-585-586-587-588-594-596-597-598-599-,
228,551-552-554-556-557-558-561-563-564-565-567-569-572-575-577-582-583-584-586-588-589-591-594-595-600-,
229,551-553-556-557-560-561-562-564-566-569-570-571-574-577-579-582-583-587-594-595-598-600-,
230,551-552-554-555-556-559-560-561-563-564-566-569-570-573-574-575-577-579-583-584-591-592-595-599-600-,
231,555-557-558-561-564-566-567-568-573-578-580-582-583-586-588-590-591-595-600-,
232,554-560-562-564-565-566-567-568-572-573-577-578-579-580-582-583-587-592-594-595-596-597-,
233,551-553-554-559-560-561-564-565-568-570-572-573-576-577-578-580-584-585-589-590-591-596-597-598-599-,
234,551-553-555-557-558-559-563-564-565-568-569-572-573-576-577-578-579-581-582-584-587-591-595-596-600-,
235,551-552-558-562-563-564-567-568-572-574-581-583-584-587-589-590-591-592-596-598-600-,
236,551-552-554-556-558-560-561-565-567-568-569-570-572-573-575-576-578-579-580-585-586-587-588-591-592-593-594-595-596-597-599-600-,
237,551-556-557-558-563-565-566-567-569-571-572-575-576-577-578-579-581-584-585-586-593-594-595-597-598-,
238,553-554-555-556-557-559-561-563-565-566-568-571-572-575-580-581-587-589-590-591-592-593-594-596-597-599-,
239,551-552-557-559-562-564-567-569-572-573-578-580-581-584-585-586-589-591-593-595-596-598-,
240,553-554-556-557-558-562-563-567-568-569-570-572-573-574-576-577-579-581-582-583-587-589-590-592-593-595-597-600-,
