Observable Num, Coverable Configurations
221,552-554-555-559-560-561-562-563-565-566-569-572-576-577-578-579-580-582-583-584-588-590-594-596-,
222,551-554-555-556-558-564-567-569-570-573-574-577-578-579-583-584-585-587-589-591-592-596-597-,
223,551-555-556-559-561-562-563-565-566-567-577-578-579-580-581-582-583-585-586-590-591-593-595-600-,
224,551-554-555-556-558-561-562-563-564-565-566-567-570-572-573-578-579-580-581-586-587-589-590-591-592-594-597-599-,
225,552-553-560-562-564-565-566-570-572-573-575-576-580-582-584-585-586-588-589-590-594-595-597-598-,
226,553-554-557-558-560-561-563-567-568-569-574-576-577-578-579-582-585-586-589-590-591-593-594-595-596-600-,
227,551-554-555-557-566-568-571-574-575-577-578-580-581-587-594-595-596-598-599-,
228,551-552-559-561-562-563-567-568-569-572-573-575-576-577-586-589-591-594-595-596-599-,
229,551-556-558-564-565-567-568-569-572-574-575-576-577-578-580-583-584-586-588-590-592-593-594-595-597-598-599-,
230,552-553-554-555-558-563-566-567-568-570-571-572-576-577-578-579-580-581-582-584-587-590-591-593-595-596-598-600-,
231,551-552-556-559-561-563-565-566-567-568-571-572-574-579-580-581-582-584-585-586-587-588-590-593-594-599-600-,
232,551-552-554-559-561-563-564-566-567-568-569-570-572-573-575-577-580-581-582-585-586-587-590-592-593-595-596-597-600-,
233,554-556-557-558-561-562-564-565-567-574-576-577-580-581-583-584-585-586-587-588-589-593-594-595-596-598-599-600-,
234,551-553-554-555-559-560-561-563-564-565-566-567-577-581-583-586-588-593-595-596-597-598-,
235,551-552-554-555-560-562-564-565-567-568-570-571-572-575-576-580-581-582-583-584-585-587-591-592-596-598-599-600-,
236,551-556-557-558-559-560-563-566-567-570-577-579-580-581-582-589-590-591-592-593-594-596-597-598-,
237,552-553-556-558-559-562-564-565-568-572-577-579-581-584-587-590-593-596-597-599-600-,
238,553-554-555-559-561-564-565-566-567-568-570-572-574-576-577-578-581-582-584-585-586-588-591-595-596-597-600-,
239,553-554-556-558-561-563-568-569-571-573-578-579-581-583-584-586-589-590-591-592-596-599-600-,
240,551-553-554-556-558-559-560-563-567-569-570-574-576-578-579-581-582-584-585-587-591-592-593-594-597-,
