Observable Num, Coverable Configurations
161,403-404-406-409-410-411-412-413-416-418-419-420-421-424-426-427-429-430-432-433-434-435-436-438-439-442-443-444-445-446-450-,
162,401-404-406-408-412-413-418-420-422-424-428-429-430-431-432-433-437-443-447-448-449-450-,
163,403-404-407-408-409-410-411-412-420-425-428-433-437-439-440-441-443-444-446-447-448-,
164,402-403-404-406-407-409-410-411-412-413-416-418-427-428-432-437-443-444-446-447-448-,
165,401-402-403-404-407-408-410-411-415-416-418-419-420-421-422-423-424-429-430-433-435-436-438-440-441-442-443-444-445-446-448-449-,
166,401-404-406-407-415-417-420-421-425-426-430-433-434-439-443-444-445-448-449-450-,
167,402-405-407-409-410-411-413-415-419-422-425-427-428-430-433-435-436-439-440-443-445-448-,
168,401-402-404-405-408-410-411-415-416-419-420-421-423-424-430-431-432-433-437-440-443-444-445-447-449-450-,
169,401-405-408-411-412-413-415-417-418-419-421-422-425-428-432-433-435-436-438-439-440-444-446-448-449-450-,
170,401-402-406-407-409-410-413-414-415-416-419-421-422-423-424-425-426-427-430-431-434-435-436-439-441-445-446-447-448-450-,
171,405-410-412-415-416-418-419-423-426-427-430-431-432-433-435-437-438-439-441-443-447-448-449-,
172,401-403-404-410-412-414-418-419-420-421-423-425-427-428-429-430-432-434-435-436-439-440-443-445-447-450-,
173,403-406-407-412-414-415-418-419-420-421-422-423-428-429-430-431-433-435-437-441-445-448-450-,
174,405-406-407-411-412-413-414-415-418-419-420-421-423-424-425-427-431-435-436-438-439-440-442-445-446-447-450-,
175,401-403-404-405-407-408-409-410-413-414-416-419-420-423-427-430-432-438-443-444-445-,
176,401-402-403-404-408-411-416-417-418-419-423-426-427-430-431-432-433-434-437-440-441-442-445-446-447-448-449-450-,
177,405-408-409-410-411-412-413-414-415-417-418-422-423-424-427-428-429-430-435-439-441-446-447-448-449-450-,
178,404-407-409-410-411-415-416-417-418-420-421-422-424-425-427-429-430-435-437-439-440-441-444-445-446-448-,
179,403-405-406-408-409-410-411-412-415-416-417-419-422-423-425-426-427-430-431-435-440-444-446-448-,
180,403-404-405-406-407-412-413-418-419-423-426-429-430-431-434-438-439-440-441-442-444-445-446-448-449-,
