Observable Num, Coverable Configurations
181,367-368-369-370-372-373-374-375-377-378-380-,
182,363-370-372-375-379-380-,
183,361-362-363-366-369-370-373-374-376-378-379-,
184,364-365-366-367-368-369-370-372-373-374-376-379-380-,
185,363-367-371-373-374-375-380-,
186,361-362-363-364-366-367-368-369-370-371-372-373-375-376-378-380-,
187,362-364-365-371-375-376-,
188,361-362-364-366-367-370-371-372-373-374-375-377-378-379-,
189,361-363-364-365-368-372-373-374-375-377-378-380-,
190,361-366-368-370-371-373-374-376-378-379-,
