Observable Num, Coverable Configurations
261,651-656-657-663-664-665-666-667-668-669-671-675-676-679-680-683-684-685-686-688-692-693-694-696-697-,
262,653-655-658-661-662-663-669-674-675-677-678-682-687-689-690-694-696-700-,
263,653-659-661-662-665-667-669-670-672-673-674-675-676-677-679-680-684-685-686-688-690-691-692-694-695-696-698-700-,
264,651-654-655-656-661-662-664-665-666-670-671-672-673-675-677-679-681-683-684-685-686-691-692-693-699-700-,
265,652-653-654-656-659-661-662-663-665-666-667-670-672-676-677-678-679-680-681-683-686-688-690-691-694-698-,
266,651-652-655-658-661-663-666-669-670-673-675-677-678-682-683-686-688-689-690-691-694-698-700-,
267,651-652-653-656-658-660-661-664-666-668-669-670-673-674-675-678-679-681-682-684-685-686-689-690-692-694-695-696-698-,
268,651-652-654-656-657-659-663-665-667-669-671-675-676-679-681-688-691-693-694-695-696-700-,
269,652-654-657-658-659-660-661-662-663-665-667-669-670-671-672-676-677-678-679-680-684-685-687-688-691-692-694-695-699-,
270,651-652-658-660-661-663-665-666-668-669-670-671-672-675-676-677-684-685-688-689-691-693-694-695-699-,
271,651-653-654-657-661-663-664-666-668-671-672-673-674-675-677-680-681-683-684-690-693-694-695-696-,
272,653-654-655-656-658-659-661-664-666-668-671-673-676-678-679-680-682-683-688-692-693-694-695-696-697-698-699-,
273,651-653-656-657-659-665-666-668-669-670-672-674-675-677-679-680-681-682-683-684-686-687-689-691-694-695-700-,
274,652-653-654-657-659-661-662-666-667-668-669-673-674-675-678-681-682-683-687-689-692-693-696-697-,
275,657-660-664-665-666-669-670-672-673-674-677-679-680-682-686-687-689-690-691-694-696-697-699-700-,
276,652-653-654-655-656-657-660-662-666-668-669-670-671-674-677-681-683-686-690-693-,
277,652-654-657-658-659-662-663-664-665-666-667-669-671-672-673-676-677-678-679-680-681-682-684-685-688-689-690-691-700-,
278,652-658-662-664-665-668-669-671-672-674-675-678-680-687-695-698-,
279,651-652-653-654-656-658-659-661-663-665-667-668-669-670-671-672-673-675-677-678-682-685-688-689-690-693-695-698-699-,
280,656-657-659-660-661-662-664-666-668-669-671-672-673-680-682-684-685-686-689-691-694-695-697-699-,
