Observable Num, Coverable Configurations
1,1-2-4-5-6-9-10-11-14-16-17-18-21-23-24-26-28-29-32-33-40-42-43-45-46-48-50-,
2,2-3-4-5-6-10-12-13-15-18-21-22-23-24-25-26-27-30-32-33-36-41-43-45-47-49-50-,
3,1-2-3-4-7-12-13-15-16-18-21-22-23-27-28-29-31-33-38-39-42-43-45-46-48-,
4,1-2-6-7-8-12-15-16-17-20-21-23-24-26-27-28-29-30-32-33-34-35-36-37-38-39-43-44-48-50-,
5,1-2-3-4-6-7-11-27-28-30-31-35-37-38-39-42-45-46-47-48-49-50-,
6,1-5-6-7-9-14-16-17-18-19-21-23-24-25-26-28-29-30-32-34-35-36-37-38-39-40-41-42-43-44-45-46-47-,
7,2-7-11-12-14-15-16-19-21-23-24-26-27-29-32-33-36-41-44-46-49-,
8,2-3-4-5-6-7-8-10-11-12-14-15-17-19-20-22-24-25-30-31-32-33-38-40-41-44-46-47-48-49-50-,
9,2-7-8-11-12-13-14-15-16-17-18-19-20-22-24-26-27-29-32-33-35-36-37-38-42-43-45-46-47-48-49-50-,
10,2-3-6-8-9-10-13-14-15-16-18-19-21-22-24-25-26-27-28-29-30-31-34-35-41-42-47-,
