Observable Num, Coverable Configurations
101,501-503-505-509-510-511-514-521-522-524-525-526-527-533-534-535-538-539-540-541-542-545-546-549-550-,
102,502-504-507-508-509-510-511-512-513-516-517-528-530-531-532-534-535-536-541-543-544-547-550-,
103,502-506-509-511-512-513-514-519-521-524-526-527-533-535-536-539-541-543-544-546-547-548-550-,
104,501-502-503-508-511-513-514-515-519-521-522-523-524-525-526-527-528-530-532-537-541-546-,
105,503-504-510-513-515-516-518-522-523-526-528-529-531-532-533-534-537-538-539-541-542-544-545-546-547-,
106,503-504-505-507-509-510-511-512-514-517-518-519-521-523-524-525-526-527-530-531-532-533-534-535-536-537-538-540-542-543-545-549-550-,
107,502-504-505-507-508-509-511-515-520-521-522-523-525-527-530-531-533-538-539-542-543-544-547-549-,
108,504-505-508-509-510-512-515-517-518-520-521-522-523-525-527-528-529-530-531-535-536-539-542-543-545-550-,
109,501-502-503-505-506-507-510-513-515-516-517-519-520-522-523-527-528-529-530-533-534-535-536-537-538-543-545-,
110,501-508-509-510-514-515-519-523-524-525-527-528-531-533-534-535-537-538-539-540-542-543-544-545-546-548-549-550-,
