Configuration, ObservableConfiguration, Cost
631,71,10000,
631,72,73,
631,73,10000,
631,74,30,
631,75,92,
631,76,10000,
631,77,10000,
631,78,70,
631,79,10000,
631,80,10000,
632,71,10000,
632,72,10000,
632,73,10000,
632,74,27,
632,75,10000,
632,76,32,
632,77,35,
632,78,10000,
632,79,10000,
632,80,16,
633,71,10000,
633,72,10000,
633,73,33,
633,74,10000,
633,75,9,
633,76,97,
633,77,59,
633,78,10000,
633,79,43,
633,80,1,
634,71,10000,
634,72,56,
634,73,24,
634,74,10000,
634,75,10000,
634,76,10000,
634,77,73,
634,78,10000,
634,79,52,
634,80,60,
635,71,96,
635,72,40,
635,73,86,
635,74,10000,
635,75,86,
635,76,61,
635,77,10000,
635,78,10000,
635,79,10000,
635,80,10000,
636,71,10000,
636,72,3,
636,73,10000,
636,74,10000,
636,75,10000,
636,76,11,
636,77,10000,
636,78,11,
636,79,10000,
636,80,10000,
637,71,85,
637,72,10000,
637,73,10000,
637,74,60,
637,75,12,
637,76,36,
637,77,53,
637,78,23,
637,79,71,
637,80,10000,
638,71,10000,
638,72,10000,
638,73,38,
638,74,71,
638,75,10000,
638,76,10000,
638,77,10000,
638,78,67,
638,79,74,
638,80,10000,
639,71,33,
639,72,6,
639,73,10000,
639,74,31,
639,75,71,
639,76,10000,
639,77,51,
639,78,35,
639,79,10000,
639,80,10000,
640,71,41,
640,72,10000,
640,73,28,
640,74,63,
640,75,2,
640,76,10000,
640,77,10000,
640,78,91,
640,79,10000,
640,80,10000,
641,71,10000,
641,72,10000,
641,73,94,
641,74,10000,
641,75,10000,
641,76,23,
641,77,10000,
641,78,10000,
641,79,39,
641,80,10000,
642,71,10000,
642,72,6,
642,73,10000,
642,74,85,
642,75,15,
642,76,71,
642,77,10000,
642,78,10000,
642,79,10000,
642,80,10000,
643,71,84,
643,72,82,
643,73,87,
643,74,15,
643,75,10000,
643,76,49,
643,77,13,
643,78,10000,
643,79,10000,
643,80,21,
644,71,10000,
644,72,35,
644,73,27,
644,74,10000,
644,75,66,
644,76,10000,
644,77,81,
644,78,93,
644,79,35,
644,80,10000,
645,71,62,
645,72,18,
645,73,9,
645,74,8,
645,75,72,
645,76,10000,
645,77,10000,
645,78,91,
645,79,10000,
645,80,82,
646,71,75,
646,72,10000,
646,73,10000,
646,74,10000,
646,75,43,
646,76,10000,
646,77,10000,
646,78,10000,
646,79,10000,
646,80,10000,
647,71,10000,
647,72,10000,
647,73,18,
647,74,98,
647,75,10000,
647,76,76,
647,77,40,
647,78,10000,
647,79,10000,
647,80,20,
648,71,70,
648,72,10000,
648,73,10000,
648,74,81,
648,75,10000,
648,76,10000,
648,77,40,
648,78,10000,
648,79,10000,
648,80,18,
649,71,89,
649,72,73,
649,73,10000,
649,74,10000,
649,75,2,
649,76,48,
649,77,46,
649,78,10000,
649,79,13,
649,80,10000,
650,71,10000,
650,72,35,
650,73,10000,
650,74,25,
650,75,59,
