Configuration, ObservableConfiguration, Cost
1301,131,73,
1301,132,10000,
1301,133,59,
1301,134,28,
1301,135,10000,
1301,136,10000,
1301,137,10000,
1301,138,100,
1301,139,10000,
1301,140,10000,
1302,131,10000,
1302,132,2,
1302,133,92,
1302,134,10000,
1302,135,16,
1302,136,10000,
1302,137,10000,
1302,138,10000,
1302,139,17,
1302,140,10000,
1303,131,10000,
1303,132,30,
1303,133,10000,
1303,134,10000,
1303,135,10000,
1303,136,10000,
1303,137,96,
1303,138,21,
1303,139,10000,
1303,140,19,
1304,131,10000,
1304,132,10000,
1304,133,10000,
1304,134,10000,
1304,135,35,
1304,136,93,
1304,137,10000,
1304,138,42,
1304,139,76,
1304,140,98,
1305,131,10000,
1305,132,10000,
1305,133,10000,
1305,134,70,
1305,135,10000,
1305,136,65,
1305,137,55,
1305,138,10000,
1305,139,1,
1305,140,10000,
1306,131,60,
1306,132,44,
1306,133,10000,
1306,134,21,
1306,135,90,
1306,136,10000,
1306,137,10000,
1306,138,10000,
1306,139,52,
1306,140,10000,
1307,131,10000,
1307,132,10000,
1307,133,31,
1307,134,31,
1307,135,23,
1307,136,10000,
1307,137,67,
1307,138,2,
1307,139,10000,
1307,140,96,
1308,131,10000,
1308,132,10000,
1308,133,33,
1308,134,95,
1308,135,10000,
1308,136,10000,
1308,137,78,
1308,138,69,
1308,139,10000,
1308,140,10000,
1309,131,73,
1309,132,10000,
1309,133,10000,
1309,134,10000,
1309,135,10000,
1309,136,10000,
1309,137,10000,
1309,138,57,
1309,139,10000,
1309,140,100,
1310,131,71,
1310,132,62,
1310,133,10000,
1310,134,10000,
1310,135,10000,
1310,136,10000,
1310,137,52,
1310,138,10000,
1310,139,10000,
1310,140,10000,
1311,131,78,
1311,132,69,
1311,133,4,
1311,134,10000,
1311,135,10000,
1311,136,82,
1311,137,63,
1311,138,10000,
1311,139,10000,
1311,140,10000,
1312,131,10000,
1312,132,27,
1312,133,95,
1312,134,10000,
1312,135,74,
1312,136,51,
1312,137,66,
1312,138,79,
1312,139,47,
1312,140,10000,
1313,131,10000,
1313,132,48,
1313,133,14,
1313,134,12,
1313,135,43,
1313,136,10000,
1313,137,10000,
1313,138,10000,
1313,139,10000,
1313,140,10000,
1314,131,4,
1314,132,66,
1314,133,39,
1314,134,40,
1314,135,10000,
1314,136,10000,
1314,137,83,
1314,138,10000,
1314,139,75,
1314,140,28,
1315,131,10000,
1315,132,56,
1315,133,10000,
1315,134,85,
1315,135,32,
1315,136,10000,
1315,137,40,
1315,138,3,
1315,139,10000,
1315,140,81,
1316,131,71,
1316,132,74,
1316,133,10000,
1316,134,10000,
1316,135,19,
1316,136,10000,
1316,137,45,
1316,138,25,
1316,139,73,
1316,140,72,
1317,131,82,
1317,132,10000,
1317,133,48,
1317,134,10000,
1317,135,89,
1317,136,82,
1317,137,24,
1317,138,82,
1317,139,23,
1317,140,20,
1318,131,11,
1318,132,65,
1318,133,10000,
1318,134,73,
1318,135,47,
1318,136,5,
1318,137,2,
1318,138,23,
1318,139,80,
1318,140,10000,
1319,131,76,
1319,132,98,
1319,133,10000,
1319,134,7,
1319,135,91,
1319,136,37,
1319,137,69,
1319,138,90,
1319,139,10000,
1319,140,53,
1320,131,10000,
1320,132,10000,
1320,133,10000,
1320,134,54,
1320,135,10000,
1320,136,22,
1320,137,15,
1320,138,97,
1320,139,10000,
1320,140,74,
1321,131,10000,
1321,132,10000,
1321,133,29,
1321,134,10000,
1321,135,8,
1321,136,67,
1321,137,14,
1321,138,10000,
1321,139,57,
1321,140,85,
1322,131,10000,
1322,132,10000,
1322,133,65,
1322,134,10000,
1322,135,24,
1322,136,10000,
1322,137,21,
1322,138,10000,
1322,139,10000,
1322,140,10000,
1323,131,10000,
1323,132,29,
1323,133,92,
1323,134,10000,
1323,135,68,
1323,136,34,
1323,137,99,
1323,138,35,
1323,139,34,
1323,140,74,
1324,131,10000,
1324,132,21,
1324,133,83,
1324,134,10000,
1324,135,10000,
1324,136,89,
1324,137,10000,
1324,138,4,
1324,139,10000,
1324,140,10000,
1325,131,64,
1325,132,63,
1325,133,10000,
1325,134,10000,
1325,135,10000,
1325,136,1,
1325,137,10000,
1325,138,10000,
1325,139,4,
1325,140,10000,
1326,131,97,
1326,132,10000,
1326,133,10000,
1326,134,95,
1326,135,10000,
1326,136,93,
1326,137,10000,
1326,138,66,
1326,139,12,
1326,140,10000,
1327,131,25,
1327,132,10000,
1327,133,24,
1327,134,79,
1327,135,10000,
1327,136,10000,
1327,137,10000,
1327,138,34,
1327,139,10000,
1327,140,10000,
1328,131,10000,
1328,132,10000,
1328,133,10000,
1328,134,10000,
1328,135,10000,
1328,136,10000,
1328,137,10000,
1328,138,51,
1328,139,29,
1328,140,69,
1329,131,2,
1329,132,20,
1329,133,10000,
1329,134,46,
1329,135,5,
1329,136,10000,
1329,137,10000,
1329,138,10000,
1329,139,13,
1329,140,10000,
1330,131,37,
1330,132,10000,
1330,133,49,
1330,134,10000,
1330,135,10000,
1330,136,10000,
1330,137,18,
1330,138,10000,
1330,139,10000,
1330,140,10000,
1331,131,52,
1331,132,92,
1331,133,30,
1331,134,8,
1331,135,10000,
1331,136,69,
1331,137,10000,
1331,138,10000,
1331,139,10000,
1331,140,21,
1332,131,54,
1332,132,14,
1332,133,73,
1332,134,10000,
1332,135,10000,
1332,136,14,
1332,137,30,
1332,138,13,
1332,139,11,
1332,140,93,
1333,131,17,
1333,132,3,
1333,133,62,
1333,134,10000,
1333,135,76,
1333,136,10000,
1333,137,10000,
1333,138,59,
1333,139,10000,
1333,140,10000,
1334,131,45,
1334,132,50,
1334,133,10000,
1334,134,10000,
1334,135,10000,
1334,136,20,
1334,137,10000,
1334,138,34,
1334,139,1,
1334,140,20,
1335,131,83,
1335,132,10000,
1335,133,26,
1335,134,84,
1335,135,91,
1335,136,37,
1335,137,10000,
1335,138,17,
1335,139,10000,
1335,140,92,
1336,131,10000,
1336,132,10000,
1336,133,10000,
1336,134,67,
1336,135,74,
1336,136,10000,
1336,137,10000,
1336,138,62,
1336,139,14,
1336,140,10000,
1337,131,10000,
1337,132,10000,
1337,133,73,
1337,134,10000,
1337,135,10000,
1337,136,47,
1337,137,95,
1337,138,47,
1337,139,10000,
1337,140,5,
1338,131,34,
1338,132,10000,
1338,133,10000,
1338,134,63,
1338,135,10000,
1338,136,28,
1338,137,10000,
1338,138,81,
1338,139,10000,
1338,140,10000,
1339,131,10000,
1339,132,10000,
1339,133,91,
1339,134,38,
1339,135,36,
1339,136,10000,
1339,137,10000,
1339,138,10000,
1339,139,10000,
1339,140,91,
1340,131,10000,
1340,132,10000,
1340,133,10000,
1340,134,41,
1340,135,10000,
1340,136,10000,
1340,137,4,
1340,138,69,
1340,139,95,
1340,140,10000,
1341,131,55,
1341,132,4,
1341,133,10000,
1341,134,40,
1341,135,99,
1341,136,9,
1341,137,10000,
1341,138,10000,
1341,139,61,
1341,140,63,
1342,131,18,
1342,132,47,
1342,133,10000,
1342,134,10000,
1342,135,80,
1342,136,10000,
1342,137,48,
1342,138,64,
1342,139,84,
1342,140,37,
1343,131,10000,
1343,132,81,
1343,133,11,
1343,134,10000,
1343,135,10000,
1343,136,10000,
1343,137,79,
1343,138,9,
1343,139,10000,
1343,140,10000,
1344,131,10000,
1344,132,71,
1344,133,89,
1344,134,10000,
1344,135,59,
1344,136,10000,
1344,137,10000,
1344,138,41,
1344,139,41,
1344,140,22,
1345,131,10000,
1345,132,38,
1345,133,10000,
1345,134,10000,
1345,135,60,
1345,136,10000,
1345,137,10000,
1345,138,17,
1345,139,10000,
1345,140,10000,
1346,131,65,
1346,132,10000,
1346,133,10000,
1346,134,85,
1346,135,10000,
1346,136,15,
1346,137,96,
1346,138,76,
1346,139,83,
1346,140,10000,
1347,131,45,
1347,132,10000,
1347,133,10000,
1347,134,10000,
1347,135,10000,
1347,136,10000,
1347,137,51,
1347,138,10000,
1347,139,10000,
1347,140,10000,
1348,131,12,
1348,132,59,
1348,133,79,
1348,134,78,
1348,135,15,
1348,136,91,
1348,137,18,
1348,138,95,
1348,139,10000,
1348,140,12,
1349,131,39,
1349,132,52,
1349,133,77,
1349,134,81,
1349,135,10000,
1349,136,7,
1349,137,10000,
1349,138,10000,
1349,139,70,
1349,140,10000,
1350,131,59,
1350,132,10000,
1350,133,100,
1350,134,91,
1350,135,10000,
1350,136,10000,
1350,137,10000,
1350,138,10000,
1350,139,19,
1350,140,35,
1351,131,10000,
1351,132,10000,
1351,133,10000,
1351,134,60,
1351,135,10000,
1351,136,10000,
1351,137,13,
1351,138,10000,
1351,139,35,
1351,140,55,
1352,131,96,
1352,132,68,
1352,133,10000,
1352,134,10000,
1352,135,51,
1352,136,10000,
1352,137,11,
1352,138,10,
1352,139,35,
1352,140,10000,
1353,131,10000,
1353,132,32,
1353,133,10000,
1353,134,8,
1353,135,58,
1353,136,10000,
1353,137,29,
1353,138,10000,
1353,139,35,
1353,140,10000,
1354,131,97,
1354,132,66,
1354,133,73,
1354,134,35,
1354,135,10000,
1354,136,10000,
1354,137,25,
1354,138,22,
1354,139,79,
1354,140,10000,
1355,131,43,
1355,132,10000,
1355,133,10000,
1355,134,10000,
1355,135,42,
1355,136,10000,
1355,137,65,
1355,138,98,
1355,139,83,
1355,140,62,
1356,131,86,
1356,132,20,
1356,133,10000,
1356,134,34,
1356,135,51,
1356,136,69,
1356,137,63,
1356,138,10000,
1356,139,67,
1356,140,10000,
1357,131,5,
1357,132,66,
1357,133,54,
1357,134,10000,
1357,135,20,
1357,136,80,
1357,137,13,
1357,138,10000,
1357,139,10000,
1357,140,41,
1358,131,77,
1358,132,10000,
1358,133,54,
1358,134,1,
1358,135,50,
1358,136,10000,
1358,137,30,
1358,138,10000,
1358,139,10000,
1358,140,10000,
1359,131,40,
1359,132,35,
1359,133,2,
1359,134,10000,
1359,135,83,
1359,136,81,
1359,137,34,
1359,138,10000,
1359,139,10000,
1359,140,10000,
1360,131,10000,
1360,132,10000,
1360,133,10000,
1360,134,59,
1360,135,10000,
1360,136,76,
1360,137,40,
1360,138,51,
1360,139,40,
1360,140,10000,
1361,131,85,
1361,132,56,
1361,133,79,
1361,134,10000,
1361,135,78,
1361,136,10000,
1361,137,10000,
1361,138,26,
1361,139,86,
1361,140,10000,
1362,131,10000,
1362,132,2,
1362,133,10,
1362,134,56,
1362,135,10000,
1362,136,11,
1362,137,37,
1362,138,10000,
1362,139,10000,
1362,140,82,
1363,131,83,
1363,132,10000,
1363,133,10000,
1363,134,10000,
1363,135,10000,
1363,136,32,
1363,137,36,
1363,138,10000,
1363,139,8,
1363,140,10000,
1364,131,32,
1364,132,10000,
1364,133,10000,
1364,134,46,
1364,135,65,
1364,136,83,
1364,137,31,
1364,138,27,
1364,139,65,
1364,140,10000,
1365,131,56,
1365,132,46,
1365,133,10000,
1365,134,43,
1365,135,12,
1365,136,10000,
1365,137,24,
1365,138,70,
1365,139,11,
1365,140,97,
1366,131,61,
1366,132,10000,
1366,133,90,
1366,134,46,
1366,135,84,
1366,136,10000,
1366,137,10000,
1366,138,6,
1366,139,10000,
1366,140,81,
1367,131,62,
1367,132,10000,
1367,133,51,
1367,134,85,
1367,135,50,
1367,136,6,
1367,137,92,
1367,138,10000,
1367,139,10000,
1367,140,10000,
1368,131,10000,
1368,132,10000,
1368,133,72,
1368,134,10000,
1368,135,10000,
1368,136,12,
1368,137,74,
1368,138,10000,
1368,139,10000,
1368,140,10000,
1369,131,10000,
1369,132,10000,
1369,133,53,
1369,134,1,
1369,135,10000,
1369,136,36,
1369,137,10000,
1369,138,10000,
1369,139,10000,
1369,140,10000,
1370,131,23,
1370,132,23,
1370,133,10000,
1370,134,31,
1370,135,10000,
1370,136,10000,
1370,137,10000,
1370,138,30,
1370,139,10000,
1370,140,10000,
1371,131,74,
1371,132,5,
1371,133,10000,
1371,134,53,
1371,135,10000,
1371,136,16,
1371,137,31,
1371,138,37,
1371,139,38,
1371,140,10000,
1372,131,59,
1372,132,10000,
1372,133,63,
1372,134,61,
1372,135,77,
1372,136,7,
1372,137,10000,
1372,138,10000,
1372,139,10000,
1372,140,39,
1373,131,10000,
1373,132,64,
1373,133,92,
1373,134,98,
1373,135,10000,
1373,136,96,
1373,137,10000,
1373,138,10000,
1373,139,40,
1373,140,10000,
1374,131,10000,
1374,132,10000,
1374,133,69,
1374,134,13,
1374,135,10000,
1374,136,89,
1374,137,10000,
1374,138,71,
1374,139,98,
1374,140,10000,
1375,131,14,
1375,132,10000,
1375,133,92,
1375,134,10000,
1375,135,66,
1375,136,46,
1375,137,3,
1375,138,10000,
1375,139,2,
1375,140,10000,
1376,131,10000,
1376,132,10000,
1376,133,10000,
1376,134,34,
1376,135,10000,
1376,136,10000,
1376,137,10000,
1376,138,10000,
1376,139,88,
1376,140,49,
1377,131,92,
1377,132,10000,
1377,133,10000,
1377,134,10000,
1377,135,10000,
1377,136,7,
1377,137,48,
1377,138,10000,
1377,139,9,
1377,140,90,
1378,131,60,
1378,132,10000,
1378,133,10000,
1378,134,20,
1378,135,10000,
1378,136,10000,
1378,137,15,
1378,138,36,
1378,139,10000,
1378,140,96,
1379,131,13,
1379,132,41,
1379,133,10000,
1379,134,100,
1379,135,10000,
1379,136,10000,
1379,137,10000,
1379,138,99,
1379,139,68,
1379,140,10000,
1380,131,91,
1380,132,10000,
1380,133,10000,
1380,134,48,
1380,135,10000,
1380,136,10000,
1380,137,10000,
1380,138,10000,
1380,139,10000,
1380,140,28,
1381,131,40,
1381,132,93,
1381,133,25,
1381,134,19,
1381,135,90,
1381,136,10000,
1381,137,10000,
1381,138,70,
1381,139,45,
1381,140,10000,
1382,131,10000,
1382,132,10000,
1382,133,92,
1382,134,10000,
1382,135,10000,
1382,136,10000,
1382,137,1,
1382,138,10000,
1382,139,10000,
1382,140,84,
1383,131,10,
1383,132,74,
1383,133,19,
1383,134,10000,
1383,135,10000,
1383,136,10000,
1383,137,10000,
1383,138,10000,
1383,139,10000,
1383,140,10000,
1384,131,10000,
1384,132,10000,
1384,133,10000,
1384,134,77,
1384,135,23,
1384,136,10000,
1384,137,39,
1384,138,10000,
1384,139,49,
1384,140,10000,
1385,131,10000,
1385,132,10000,
1385,133,10000,
1385,134,10000,
1385,135,85,
1385,136,72,
1385,137,53,
1385,138,51,
1385,139,10000,
1385,140,10000,
1386,131,27,
1386,132,10000,
1386,133,41,
1386,134,82,
1386,135,10000,
1386,136,10000,
1386,137,10000,
1386,138,10000,
1386,139,10000,
1386,140,10000,
1387,131,16,
1387,132,54,
1387,133,10000,
1387,134,36,
1387,135,85,
1387,136,93,
1387,137,10000,
1387,138,10000,
1387,139,24,
1387,140,82,
1388,131,10000,
1388,132,10000,
1388,133,72,
1388,134,20,
1388,135,10000,
1388,136,50,
1388,137,21,
1388,138,75,
1388,139,10000,
1388,140,10000,
1389,131,53,
1389,132,10000,
1389,133,10000,
1389,134,23,
1389,135,10000,
1389,136,10000,
1389,137,10000,
1389,138,96,
1389,139,59,
1389,140,32,
1390,131,99,
1390,132,10000,
1390,133,10000,
1390,134,43,
1390,135,76,
1390,136,10000,
1390,137,71,
1390,138,69,
1390,139,10000,
1390,140,65,
1391,131,10000,
1391,132,93,
1391,133,10000,
1391,134,8,
1391,135,10000,
1391,136,56,
1391,137,100,
1391,138,65,
1391,139,86,
1391,140,47,
1392,131,28,
1392,132,10000,
1392,133,10000,
1392,134,31,
1392,135,17,
1392,136,76,
1392,137,100,
1392,138,10000,
1392,139,10000,
1392,140,19,
1393,131,32,
1393,132,22,
1393,133,34,
1393,134,10000,
1393,135,52,
1393,136,10000,
1393,137,63,
1393,138,10000,
1393,139,52,
1393,140,62,
1394,131,10000,
1394,132,11,
1394,133,10000,
1394,134,74,
1394,135,10000,
1394,136,10000,
1394,137,10000,
1394,138,10000,
1394,139,10000,
1394,140,46,
1395,131,87,
1395,132,10000,
1395,133,10000,
1395,134,10000,
1395,135,22,
1395,136,9,
1395,137,10000,
1395,138,10000,
1395,139,10000,
1395,140,10000,
1396,131,20,
1396,132,50,
1396,133,43,
1396,134,10000,
1396,135,6,
1396,136,62,
1396,137,12,
1396,138,10000,
1396,139,10000,
1396,140,8,
1397,131,81,
1397,132,10000,
1397,133,10000,
1397,134,10000,
1397,135,42,
1397,136,10000,
1397,137,10000,
1397,138,6,
1397,139,27,
1397,140,35,
1398,131,10000,
1398,132,82,
1398,133,10000,
1398,134,75,
1398,135,10000,
1398,136,10000,
1398,137,10000,
1398,138,38,
1398,139,10000,
1398,140,10000,
1399,131,10000,
1399,132,58,
1399,133,65,
1399,134,10000,
1399,135,3,
1399,136,16,
1399,137,10000,
1399,138,10000,
1399,139,24,
1399,140,10000,
1400,131,9,
1400,132,10000,
1400,133,100,
1400,134,10000,
1400,135,8,
1400,136,10000,
1400,137,7,
1400,138,99,
1400,139,10000,
1400,140,43,
Budget,931,
