Configuration, ObservableConfiguration, Cost
201,33,34,
201,34,10000,
201,35,19,
201,36,80,
201,37,10000,
201,38,10000,
201,39,83,
201,40,71,
202,33,10000,
202,34,10000,
202,35,50,
202,36,97,
202,37,10000,
202,38,6,
202,39,57,
202,40,80,
203,33,40,
203,34,10000,
203,35,64,
203,36,57,
203,37,50,
203,38,4,
203,39,10000,
203,40,10000,
204,33,99,
204,34,10000,
204,35,10000,
204,36,30,
204,37,77,
204,38,32,
204,39,10000,
204,40,94,
205,33,10000,
205,34,10000,
205,35,57,
205,36,10000,
205,37,6,
205,38,27,
205,39,10000,
205,40,10000,
206,33,10000,
206,34,10,
206,35,10000,
206,36,10000,
206,37,10000,
206,38,10000,
206,39,10000,
206,40,24,
207,33,10000,
207,34,81,
207,35,10000,
207,36,10000,
207,37,10000,
207,38,10000,
207,39,10000,
207,40,10000,
208,33,18,
208,34,10000,
208,35,10000,
208,36,38,
208,37,28,
208,38,77,
208,39,10000,
208,40,25,
209,33,10000,
209,34,10000,
209,35,10000,
209,36,10000,
209,37,55,
209,38,10000,
209,39,10000,
209,40,10000,
210,33,50,
210,34,72,
210,35,10000,
210,36,3,
210,37,10000,
210,38,72,
210,39,10000,
210,40,69,
211,33,10000,
211,34,10000,
211,35,69,
211,36,10000,
211,37,72,
211,38,10000,
211,39,99,
211,40,18,
212,33,10000,
212,34,10000,
212,35,72,
212,36,10000,
212,37,10000,
212,38,69,
212,39,10000,
212,40,73,
213,33,10000,
213,34,10000,
213,35,10000,
213,36,10000,
213,37,10000,
213,38,10000,
213,39,10000,
213,40,94,
214,33,10000,
214,34,78,
214,35,10000,
214,36,83,
214,37,10000,
214,38,10000,
214,39,9,
214,40,5,
215,33,25,
215,34,10000,
215,35,81,
215,36,10000,
215,37,10000,
215,38,65,
215,39,12,
215,40,13,
216,33,76,
216,34,28,
216,35,8,
216,36,10000,
216,37,3,
216,38,41,
216,39,88,
216,40,95,
217,33,10000,
217,34,72,
217,35,70,
217,36,96,
217,37,4,
217,38,50,
217,39,3,
217,40,18,
218,33,10000,
218,34,10000,
218,35,74,
218,36,10000,
218,37,70,
218,38,15,
218,39,84,
218,40,63,
219,33,9,
219,34,10000,
219,35,83,
219,36,10000,
219,37,10000,
219,38,20,
219,39,10000,
219,40,43,
220,33,82,
220,34,34,
220,35,10000,
220,36,10000,
220,37,86,
220,38,10000,
220,39,52,
220,40,81,
221,33,52,
221,34,10000,
221,35,10000,
221,36,34,
221,37,10000,
221,38,16,
221,39,10000,
221,40,46,
222,33,35,
222,34,32,
222,35,58,
222,36,10000,
222,37,10000,
222,38,10000,
222,39,10000,
222,40,10000,
223,33,64,
223,34,10000,
223,35,38,
223,36,45,
223,37,27,
223,38,10,
223,39,81,
223,40,10000,
224,33,23,
224,34,13,
224,35,72,
224,36,41,
224,37,44,
224,38,54,
224,39,10000,
224,40,44,
225,33,10000,
225,34,10000,
225,35,10000,
225,36,66,
225,37,40,
225,38,82,
225,39,87,
225,40,10000,
226,33,17,
226,34,77,
226,35,10000,
226,36,43,
226,37,10000,
226,38,50,
226,39,35,
226,40,10000,
227,33,10000,
227,34,10000,
227,35,10000,
227,36,44,
227,37,3,
227,38,10000,
227,39,10000,
227,40,10000,
228,33,10000,
228,34,10000,
228,35,7,
228,36,10000,
228,37,10000,
228,38,10000,
228,39,10000,
228,40,10000,
229,33,10000,
229,34,10000,
229,35,10000,
229,36,48,
229,37,10000,
229,38,87,
229,39,10000,
229,40,10000,
230,33,77,
230,34,73,
230,35,67,
230,36,33,
230,37,10000,
230,38,5,
230,39,10000,
230,40,10000,
231,33,10000,
231,34,41,
231,35,22,
231,36,10000,
231,37,99,
231,38,10000,
231,39,10000,
231,40,10000,
232,33,96,
232,34,10000,
232,35,45,
232,36,10000,
232,37,88,
232,38,17,
232,39,10000,
232,40,43,
233,33,35,
233,34,10000,
233,35,10000,
233,36,72,
233,37,16,
233,38,10000,
233,39,33,
233,40,76,
234,33,10000,
234,34,42,
234,35,10000,
234,36,10000,
234,37,10000,
234,38,10000,
234,39,10000,
234,40,10000,
235,33,43,
235,34,10000,
235,35,10000,
235,36,81,
235,37,75,
235,38,10000,
235,39,72,
235,40,76,
236,33,10000,
236,34,10000,
236,35,43,
236,36,98,
236,37,73,
236,38,10000,
236,39,87,
236,40,82,
237,33,10000,
237,34,10000,
237,35,10000,
237,36,10000,
237,37,10000,
237,38,10000,
237,39,56,
237,40,10000,
238,33,85,
238,34,98,
238,35,10000,
238,36,10000,
238,37,10000,
238,38,10000,
238,39,10000,
238,40,43,
239,33,72,
239,34,10000,
239,35,82,
239,36,36,
239,37,10000,
239,38,10000,
239,39,33,
239,40,41,
240,33,10000,
240,34,10000,
240,35,33,
240,36,16,
240,37,10000,
240,38,10000,
240,39,10000,
240,40,4,
241,33,79,
241,34,10000,
241,35,10000,
241,36,10000,
241,37,10000,
241,38,10000,
241,39,10000,
241,40,10000,
242,33,10000,
242,34,82,
242,35,97,
242,36,44,
242,37,10000,
242,38,10000,
242,39,31,
242,40,77,
243,33,10000,
243,34,88,
243,35,83,
243,36,10000,
243,37,10000,
243,38,10000,
243,39,10000,
243,40,63,
244,33,5,
244,34,58,
244,35,3,
244,36,10000,
244,37,10000,
244,38,10000,
244,39,17,
244,40,67,
245,33,37,
245,34,67,
245,35,10000,
245,36,10000,
245,37,10000,
245,38,50,
245,39,10000,
245,40,10000,
246,33,10000,
246,34,10000,
246,35,10000,
246,36,10000,
246,37,10000,
246,38,10000,
246,39,10000,
246,40,28,
247,33,10000,
247,34,70,
247,35,10000,
247,36,50,
247,37,10000,
247,38,3,
247,39,10000,
247,40,10000,
248,33,48,
248,34,65,
248,35,10000,
248,36,37,
248,37,10000,
248,38,68,
248,39,15,
248,40,10000,
249,33,10000,
249,34,10000,
249,35,32,
249,36,98,
249,37,86,
249,38,10000,
249,39,2,
249,40,25,
250,33,29,
250,34,43,
250,35,43,
250,36,10000,
250,37,28,
250,38,10000,
250,39,92,
250,40,79,
Budget,1285,
