Configuration, ObservableConfiguration, Cost
101,9,10000,
101,10,43,
101,11,10000,
101,12,10000,
102,9,6,
102,10,12,
102,11,63,
102,12,10000,
103,9,31,
103,10,62,
103,11,39,
103,12,10000,
104,9,10000,
104,10,10000,
104,11,3,
104,12,10000,
105,9,97,
105,10,10000,
105,11,15,
105,12,92,
106,9,47,
106,10,10000,
106,11,10000,
106,12,10000,
107,9,62,
107,10,10000,
107,11,10000,
107,12,10000,
108,9,13,
108,10,10000,
108,11,10000,
108,12,95,
109,9,10000,
109,10,19,
109,11,10000,
109,12,49,
110,9,70,
110,10,56,
110,11,61,
110,12,68,
111,9,10000,
111,10,61,
111,11,28,
111,12,10000,
112,9,10000,
112,10,91,
112,11,77,
112,12,10000,
113,9,10000,
113,10,95,
113,11,10000,
113,12,10000,
114,9,69,
114,10,10000,
114,11,66,
114,12,10000,
115,9,10000,
115,10,10,
115,11,10000,
115,12,5,
116,9,77,
116,10,86,
116,11,37,
116,12,14,
117,9,82,
117,10,15,
117,11,54,
117,12,10000,
118,9,12,
118,10,16,
118,11,10000,
118,12,10000,
119,9,10000,
119,10,88,
119,11,30,
119,12,10000,
120,9,27,
120,10,68,
120,11,10000,
120,12,10000,
121,9,10000,
121,10,10000,
121,11,26,
121,12,22,
122,9,29,
122,10,10000,
122,11,68,
122,12,10000,
123,9,12,
123,10,54,
123,11,16,
123,12,10000,
124,9,16,
124,10,18,
124,11,52,
124,12,10000,
125,9,10000,
125,10,10000,
125,11,22,
125,12,10000,
126,9,43,
126,10,10000,
126,11,16,
126,12,10000,
127,9,10000,
127,10,66,
127,11,10000,
127,12,68,
128,9,64,
128,10,61,
128,11,10000,
128,12,15,
129,9,91,
129,10,10000,
129,11,52,
129,12,10000,
130,9,25,
130,10,74,
130,11,10000,
130,12,10000,
131,9,10000,
131,10,31,
131,11,10000,
131,12,10000,
132,9,33,
132,10,1,
132,11,20,
132,12,53,
133,9,38,
133,10,54,
133,11,10000,
133,12,44,
134,9,10000,
134,10,10000,
134,11,81,
134,12,26,
135,9,10000,
135,10,10000,
135,11,25,
135,12,22,
136,9,25,
136,10,71,
136,11,10000,
136,12,10000,
137,9,93,
137,10,5,
137,11,10000,
137,12,10000,
138,9,10000,
138,10,6,
138,11,95,
138,12,38,
139,9,10000,
139,10,10000,
139,11,38,
139,12,10000,
140,9,65,
140,10,57,
140,11,95,
140,12,10000,
141,9,10000,
141,10,10000,
141,11,10000,
141,12,1,
142,9,97,
142,10,10000,
142,11,30,
142,12,97,
143,9,10000,
143,10,87,
143,11,23,
143,12,10000,
144,9,44,
144,10,10000,
144,11,10000,
144,12,10000,
145,9,10000,
145,10,10000,
145,11,10000,
145,12,59,
146,9,67,
146,10,94,
146,11,9,
146,12,10000,
147,9,37,
147,10,22,
147,11,39,
147,12,10000,
148,9,10000,
148,10,85,
148,11,12,
148,12,82,
149,9,42,
149,10,5,
149,11,10000,
149,12,10000,
150,9,10000,
150,10,23,
150,11,10000,
150,12,10000,
Budget,287,
