Configuration, ObservableConfiguration, Cost
351,57,10000,
351,58,10000,
351,59,8,
351,60,98,
351,61,10000,
351,62,80,
351,63,52,
351,64,61,
352,57,10000,
352,58,10000,
352,59,83,
352,60,10000,
352,61,10000,
352,62,10000,
352,63,10000,
352,64,95,
353,57,10000,
353,58,35,
353,59,10000,
353,60,10000,
353,61,65,
353,62,10000,
353,63,10000,
353,64,10000,
354,57,62,
354,58,10000,
354,59,26,
354,60,44,
354,61,10000,
354,62,10000,
354,63,96,
354,64,10000,
355,57,3,
355,58,88,
355,59,5,
355,60,10000,
355,61,10000,
355,62,10000,
355,63,10000,
355,64,52,
356,57,10000,
356,58,93,
356,59,10000,
356,60,10000,
356,61,10000,
356,62,10000,
356,63,10000,
356,64,32,
357,57,10000,
357,58,10000,
357,59,10000,
357,60,10000,
357,61,10000,
357,62,10000,
357,63,83,
357,64,10000,
358,57,10000,
358,58,100,
358,59,86,
358,60,68,
358,61,23,
358,62,10000,
358,63,10000,
358,64,49,
359,57,99,
359,58,72,
359,59,10000,
359,60,10000,
359,61,16,
359,62,10000,
359,63,10000,
359,64,10000,
360,57,10000,
360,58,10000,
360,59,10000,
360,60,10000,
360,61,10000,
360,62,10000,
360,63,41,
360,64,10000,
361,57,76,
361,58,94,
361,59,10000,
361,60,10000,
361,61,52,
361,62,10000,
361,63,88,
361,64,10000,
362,57,36,
362,58,78,
362,59,27,
362,60,10000,
362,61,28,
362,62,34,
362,63,2,
362,64,67,
363,57,10000,
363,58,10000,
363,59,84,
363,60,54,
363,61,10000,
363,62,55,
363,63,10000,
363,64,10000,
364,57,98,
364,58,10000,
364,59,10000,
364,60,10000,
364,61,10000,
364,62,10000,
364,63,10000,
364,64,61,
365,57,91,
365,58,10000,
365,59,10000,
365,60,58,
365,61,70,
365,62,10000,
365,63,98,
365,64,71,
366,57,10000,
366,58,10000,
366,59,33,
366,60,3,
366,61,42,
366,62,66,
366,63,10000,
366,64,54,
367,57,49,
367,58,16,
367,59,10000,
367,60,93,
367,61,47,
367,62,10000,
367,63,10000,
367,64,11,
368,57,55,
368,58,2,
368,59,10000,
368,60,93,
368,61,79,
368,62,10000,
368,63,52,
368,64,10000,
369,57,10000,
369,58,100,
369,59,10000,
369,60,10000,
369,61,96,
369,62,77,
369,63,10000,
369,64,6,
370,57,10000,
370,58,10000,
370,59,10000,
370,60,10000,
370,61,12,
370,62,10000,
370,63,47,
370,64,24,
371,57,10000,
371,58,10000,
371,59,36,
371,60,10000,
371,61,95,
371,62,10000,
371,63,10000,
371,64,89,
372,57,42,
372,58,10000,
372,59,61,
372,60,68,
372,61,31,
372,62,10000,
372,63,10000,
372,64,10000,
373,57,10000,
373,58,69,
373,59,10000,
373,60,45,
373,61,46,
373,62,10000,
373,63,10000,
373,64,96,
374,57,10000,
374,58,54,
374,59,72,
374,60,11,
374,61,10000,
374,62,20,
374,63,10000,
374,64,71,
375,57,10000,
375,58,10000,
375,59,90,
375,60,29,
375,61,33,
375,62,10000,
375,63,10000,
375,64,98,
376,57,90,
376,58,46,
376,59,10000,
376,60,10000,
376,61,85,
376,62,10000,
376,63,48,
376,64,10000,
377,57,10000,
377,58,99,
377,59,10000,
377,60,43,
377,61,93,
377,62,10000,
377,63,10000,
377,64,80,
378,57,10000,
378,58,10000,
378,59,10000,
378,60,10000,
378,61,10000,
378,62,10000,
378,63,57,
378,64,10000,
379,57,10000,
379,58,45,
379,59,10000,
379,60,50,
379,61,68,
379,62,84,
379,63,10000,
379,64,10000,
380,57,7,
380,58,10000,
380,59,10000,
380,60,10000,
380,61,10000,
380,62,10000,
380,63,10000,
380,64,10000,
381,57,15,
381,58,18,
381,59,49,
381,60,84,
381,61,10000,
381,62,10000,
381,63,10000,
381,64,10000,
382,57,10000,
382,58,19,
382,59,10000,
382,60,52,
382,61,10000,
382,62,42,
382,63,98,
382,64,81,
383,57,10,
383,58,10000,
383,59,55,
383,60,5,
383,61,10000,
383,62,58,
383,63,10000,
383,64,10000,
384,57,70,
384,58,94,
384,59,2,
384,60,10000,
384,61,10000,
384,62,74,
384,63,10000,
384,64,94,
385,57,10000,
385,58,35,
385,59,88,
385,60,91,
385,61,54,
385,62,10000,
385,63,7,
385,64,92,
386,57,11,
386,58,10000,
386,59,10000,
386,60,49,
386,61,3,
386,62,10000,
386,63,10000,
386,64,5,
387,57,96,
387,58,10,
387,59,10000,
387,60,10000,
387,61,10000,
387,62,10000,
387,63,62,
387,64,10000,
388,57,66,
388,58,10000,
388,59,11,
