Configuration, ObservableConfiguration, Cost
401,49,10000,
401,50,49,
401,51,86,
401,52,27,
401,53,93,
401,54,10000,
402,49,33,
402,50,16,
402,51,26,
402,52,9,
402,53,10000,
402,54,10000,
403,49,10000,
403,50,10000,
403,51,98,
403,52,10000,
403,53,21,
403,54,10000,
404,49,8,
404,50,10000,
404,51,40,
404,52,36,
404,53,10000,
404,54,10000,
405,49,10000,
405,50,10000,
405,51,10000,
405,52,55,
405,53,79,
405,54,10000,
406,49,10000,
406,50,10000,
406,51,94,
406,52,10000,
406,53,10000,
406,54,70,
407,49,10000,
407,50,10000,
407,51,24,
407,52,10000,
407,53,10000,
407,54,10000,
408,49,76,
408,50,6,
408,51,29,
408,52,69,
408,53,90,
408,54,10000,
409,49,10000,
409,50,27,
409,51,10000,
409,52,100,
409,53,59,
409,54,94,
410,49,10000,
410,50,43,
410,51,40,
410,52,10000,
410,53,10000,
410,54,10000,
411,49,38,
411,50,10000,
411,51,10000,
411,52,10000,
411,53,10000,
411,54,10000,
412,49,10000,
412,50,69,
412,51,10000,
412,52,10000,
412,53,10000,
412,54,90,
413,49,10000,
413,50,20,
413,51,10000,
413,52,10000,
413,53,10000,
413,54,10000,
414,49,10000,
414,50,10000,
414,51,10000,
414,52,3,
414,53,10000,
414,54,41,
415,49,69,
415,50,10000,
415,51,10000,
415,52,10000,
415,53,69,
415,54,47,
416,49,86,
416,50,10000,
416,51,10000,
416,52,10000,
416,53,10000,
416,54,10000,
417,49,10000,
417,50,10000,
417,51,24,
417,52,11,
417,53,36,
417,54,10000,
418,49,10000,
418,50,46,
418,51,29,
418,52,10000,
418,53,10000,
418,54,10000,
419,49,33,
419,50,10000,
419,51,37,
419,52,10000,
419,53,10000,
419,54,41,
420,49,19,
420,50,10000,
420,51,51,
420,52,70,
420,53,59,
420,54,7,
421,49,54,
421,50,85,
421,51,10000,
421,52,28,
421,53,23,
421,54,81,
422,49,95,
422,50,10000,
422,51,69,
422,52,10000,
422,53,10000,
422,54,10000,
423,49,65,
423,50,50,
423,51,35,
423,52,45,
423,53,10000,
423,54,59,
424,49,77,
424,50,10000,
424,51,10000,
424,52,10000,
424,53,34,
424,54,10000,
425,49,10000,
425,50,38,
425,51,10000,
425,52,10000,
425,53,10000,
425,54,29,
426,49,10000,
426,50,10000,
426,51,16,
426,52,73,
426,53,10000,
426,54,10000,
427,49,10000,
427,50,67,
427,51,62,
427,52,10000,
427,53,10000,
427,54,10000,
428,49,20,
428,50,10000,
428,51,12,
428,52,10000,
428,53,10000,
428,54,32,
429,49,10000,
429,50,100,
429,51,10000,
429,52,10000,
429,53,10000,
429,54,10000,
430,49,65,
430,50,10000,
430,51,10000,
430,52,10000,
430,53,3,
430,54,60,
431,49,72,
431,50,10000,
431,51,10000,
431,52,10000,
431,53,10000,
431,54,10000,
432,49,10000,
432,50,10000,
432,51,53,
432,52,10000,
432,53,70,
432,54,10000,
433,49,10000,
433,50,10000,
433,51,67,
433,52,10000,
433,53,10000,
433,54,10000,
434,49,31,
434,50,96,
434,51,65,
434,52,10000,
434,53,10000,
434,54,10000,
435,49,10000,
435,50,10000,
435,51,28,
435,52,10000,
435,53,88,
435,54,10000,
436,49,3,
436,50,83,
436,51,10000,
436,52,50,
436,53,67,
436,54,38,
437,49,10000,
437,50,10000,
437,51,10000,
437,52,10000,
437,53,10000,
437,54,34,
438,49,28,
438,50,10000,
438,51,10000,
438,52,10000,
438,53,54,
438,54,44,
439,49,10000,
439,50,37,
439,51,10000,
439,52,83,
439,53,66,
439,54,58,
440,49,98,
440,50,10000,
440,51,51,
440,52,100,
440,53,10000,
440,54,53,
441,49,53,
441,50,58,
441,51,62,
441,52,10000,
441,53,29,
441,54,81,
442,49,10000,
442,50,10000,
442,51,10000,
442,52,10000,
442,53,20,
442,54,10000,
443,49,10000,
443,50,10000,
443,51,26,
443,52,10000,
443,53,10000,
443,54,54,
444,49,10,
444,50,10000,
444,51,10000,
444,52,10000,
444,53,62,
444,54,10000,
445,49,10000,
445,50,10000,
445,51,10000,
445,52,6,
445,53,7,
445,54,52,
446,49,30,
446,50,10000,
446,51,10000,
446,52,10000,
446,53,10000,
446,54,10000,
447,49,55,
447,50,94,
447,51,10000,
447,52,55,
447,53,7,
447,54,10000,
448,49,12,
448,50,43,
448,51,10000,
448,52,84,
448,53,10000,
448,54,62,
449,49,95,
449,50,10000,
449,51,61,
449,52,10000,
449,53,10000,
449,54,93,
450,49,3,
450,50,10000,
450,51,36,
450,52,10000,
450,53,10000,
450,54,10000,
Budget,262,
