Configuration, ObservableConfiguration, Cost
1401,57,27,
1401,58,10000,
1402,57,56,
1402,58,10000,
1403,57,92,
1403,58,30,
1404,57,10000,
1404,58,33,
1405,57,46,
1405,58,17,
1406,57,35,
1406,58,20,
1407,57,10000,
1407,58,20,
1408,57,62,
1408,58,10000,
1409,57,94,
1409,58,10000,
1410,57,64,
1410,58,10000,
1411,57,10000,
1411,58,12,
1412,57,10000,
1412,58,14,
1413,57,63,
1413,58,10000,
1414,57,10000,
1414,58,80,
1415,57,10000,
1415,58,1,
1416,57,94,
1416,58,10000,
1417,57,66,
1417,58,10000,
1418,57,10000,
1418,58,14,
1419,57,10000,
1419,58,64,
1420,57,10000,
1420,58,74,
1421,57,68,
1421,58,61,
1422,57,67,
1422,58,10000,
1423,57,12,
1423,58,10000,
1424,57,82,
1424,58,10000,
1425,57,65,
1425,58,84,
1426,57,44,
1426,58,86,
1427,57,10000,
1427,58,22,
1428,57,10000,
1428,58,67,
1429,57,10000,
1429,58,61,
1430,57,16,
1430,58,58,
1431,57,10000,
1431,58,48,
1432,57,10000,
1432,58,80,
1433,57,36,
1433,58,10000,
1434,57,10000,
1434,58,97,
1435,57,10000,
1435,58,39,
1436,57,55,
1436,58,89,
1437,57,47,
1437,58,10000,
1438,57,10000,
1438,58,70,
1439,57,45,
1439,58,81,
1440,57,77,
1440,58,10000,
1441,57,57,
1441,58,10000,
1442,57,17,
1442,58,10000,
1443,57,66,
1443,58,24,
1444,57,10000,
1444,58,33,
1445,57,10000,
1445,58,8,
1446,57,10000,
1446,58,87,
1447,57,10000,
1447,58,75,
1448,57,23,
1448,58,10000,
1449,57,52,
1449,58,43,
1450,57,10000,
1450,58,19,
Budget,441,
