Configuration, ObservableConfiguration, Cost
601,97,10000,
601,98,10000,
601,99,77,
601,100,12,
601,101,17,
601,102,10000,
601,103,45,
601,104,78,
602,97,42,
602,98,10000,
602,99,39,
602,100,87,
602,101,10000,
602,102,42,
602,103,98,
602,104,10000,
603,97,41,
603,98,10000,
603,99,10000,
603,100,72,
603,101,10000,
603,102,19,
603,103,10000,
603,104,47,
604,97,10000,
604,98,36,
604,99,10000,
604,100,93,
604,101,10000,
604,102,16,
604,103,80,
604,104,85,
605,97,62,
605,98,10000,
605,99,10000,
605,100,100,
605,101,10000,
605,102,61,
605,103,10000,
605,104,10000,
606,97,61,
606,98,10000,
606,99,10000,
606,100,57,
606,101,10000,
606,102,10000,
606,103,14,
606,104,10000,
607,97,77,
607,98,7,
607,99,10000,
607,100,13,
607,101,69,
607,102,12,
607,103,72,
607,104,28,
608,97,24,
608,98,90,
608,99,10000,
608,100,34,
608,101,50,
608,102,29,
608,103,51,
608,104,10000,
609,97,90,
609,98,10000,
609,99,10000,
609,100,20,
609,101,83,
609,102,30,
609,103,10000,
609,104,10000,
610,97,81,
610,98,41,
610,99,10000,
610,100,67,
610,101,10000,
610,102,10000,
610,103,10000,
610,104,10000,
611,97,10000,
611,98,4,
611,99,90,
611,100,10000,
611,101,10000,
611,102,46,
611,103,10000,
611,104,10000,
612,97,72,
612,98,50,
612,99,10000,
612,100,26,
612,101,60,
612,102,10000,
612,103,19,
612,104,10000,
613,97,10000,
613,98,56,
613,99,10000,
613,100,33,
613,101,83,
613,102,74,
613,103,10000,
613,104,50,
614,97,1,
614,98,50,
614,99,59,
614,100,20,
614,101,49,
614,102,30,
614,103,10000,
614,104,10000,
615,97,10000,
615,98,54,
615,99,10000,
615,100,77,
615,101,68,
615,102,50,
615,103,10000,
615,104,57,
616,97,85,
616,98,10000,
616,99,48,
616,100,10000,
616,101,10000,
616,102,10000,
616,103,10000,
616,104,10000,
617,97,48,
617,98,4,
617,99,10000,
617,100,96,
617,101,10000,
617,102,74,
617,103,10000,
617,104,10000,
618,97,85,
618,98,10000,
618,99,10000,
618,100,10000,
618,101,10000,
618,102,17,
618,103,28,
618,104,20,
619,97,10000,
619,98,10000,
619,99,38,
619,100,10000,
619,101,57,
619,102,95,
619,103,10000,
619,104,91,
620,97,50,
620,98,25,
620,99,10000,
620,100,78,
620,101,10000,
620,102,42,
620,103,14,
620,104,10000,
621,97,10000,
621,98,10000,
621,99,97,
621,100,70,
621,101,10000,
621,102,10000,
621,103,10000,
621,104,35,
622,97,45,
622,98,58,
622,99,1,
622,100,9,
622,101,45,
622,102,43,
622,103,29,
622,104,48,
623,97,55,
623,98,94,
623,99,10000,
623,100,52,
623,101,58,
623,102,50,
623,103,9,
623,104,10000,
624,97,10000,
624,98,10000,
624,99,10000,
624,100,60,
624,101,10000,
624,102,10000,
624,103,10000,
624,104,10000,
625,97,30,
625,98,47,
625,99,10000,
625,100,62,
625,101,10000,
625,102,75,
625,103,27,
625,104,10000,
626,97,10000,
626,98,57,
626,99,55,
626,100,63,
626,101,74,
626,102,96,
626,103,42,
626,104,19,
627,97,10000,
627,98,10000,
627,99,10000,
627,100,77,
627,101,10000,
627,102,89,
627,103,10000,
627,104,93,
628,97,10000,
628,98,46,
628,99,54,
628,100,10000,
628,101,12,
628,102,10000,
628,103,10000,
628,104,10000,
629,97,10000,
629,98,66,
629,99,10000,
629,100,10000,
629,101,30,
629,102,10000,
629,103,10000,
629,104,71,
630,97,74,
630,98,10000,
630,99,10000,
630,100,10000,
630,101,19,
630,102,98,
630,103,88,
630,104,10000,
631,97,10000,
631,98,10000,
631,99,10000,
631,100,87,
631,101,10000,
631,102,10000,
631,103,10000,
631,104,10000,
632,97,45,
632,98,57,
632,99,15,
632,100,95,
632,101,10000,
632,102,6,
632,103,10000,
632,104,10000,
633,97,2,
633,98,36,
633,99,45,
633,100,10000,
633,101,77,
633,102,87,
633,103,10000,
633,104,46,
634,97,10000,
634,98,10000,
634,99,97,
634,100,26,
634,101,26,
634,102,10000,
634,103,97,
634,104,15,
635,97,7,
635,98,60,
635,99,74,
635,100,76,
635,101,10000,
635,102,71,
635,103,62,
635,104,10000,
636,97,10000,
636,98,10000,
636,99,10000,
636,100,10000,
636,101,10000,
636,102,10000,
636,103,88,
636,104,10000,
637,97,10000,
637,98,10000,
637,99,10000,
637,100,93,
637,101,10000,
637,102,10000,
637,103,82,
637,104,19,
638,97,5,
638,98,29,
638,99,10000,
638,100,54,
638,101,10000,
638,102,10000,
638,103,84,
638,104,98,
639,97,88,
639,98,45,
639,99,27,
639,100,10000,
639,101,10000,
639,102,56,
639,103,10000,
639,104,10000,
640,97,6,
640,98,10000,
640,99,3,
640,100,81,
640,101,40,
640,102,78,
640,103,10000,
640,104,51,
641,97,26,
641,98,10000,
641,99,10000,
641,100,10000,
641,101,10000,
641,102,30,
641,103,10000,
641,104,43,
642,97,85,
642,98,3,
642,99,47,
642,100,10000,
642,101,1,
642,102,10000,
642,103,10000,
642,104,10000,
643,97,10000,
643,98,63,
643,99,56,
643,100,12,
643,101,10000,
643,102,52,
643,103,10000,
643,104,51,
644,97,2,
644,98,75,
644,99,10000,
644,100,71,
644,101,98,
644,102,10000,
644,103,10000,
644,104,53,
645,97,21,
645,98,10000,
645,99,10000,
645,100,97,
645,101,10000,
645,102,10000,
645,103,10000,
645,104,39,
646,97,62,
646,98,29,
646,99,64,
646,100,10000,
646,101,94,
646,102,34,
646,103,33,
