Configuration, ObservableConfiguration, Cost
1101,221,59
1101,222,10000
1101,223,10000
1101,224,10000
1101,225,10000
1101,226,10000
1101,227,92
1101,228,4
1101,229,16
1101,230,79
1102,221,10000
1102,222,21
1102,223,98
1102,224,63
1102,225,10000
1102,226,10000
1102,227,10000
1102,228,10000
1102,229,10000
1102,230,84
1103,221,66
1103,222,71
1103,223,46
1103,224,84
1103,225,10000
1103,226,98
1103,227,65
1103,228,10000
1103,229,76
1103,230,10000
1104,221,10000
1104,222,10000
1104,223,8
1104,224,10000
1104,225,10000
1104,226,10000
1104,227,81
1104,228,10000
1104,229,10000
1104,230,92
1105,221,28
1105,222,10000
1105,223,47
1105,224,10000
1105,225,31
1105,226,64
1105,227,10000
1105,228,27
1105,229,10000
1105,230,66
1106,221,7
1106,222,64
1106,223,11
1106,224,10000
1106,225,10000
1106,226,11
1106,227,24
1106,228,10000
1106,229,10000
1106,230,5
1107,221,18
1107,222,62
1107,223,10000
1107,224,68
1107,225,10000
1107,226,10000
1107,227,21
1107,228,10000
1107,229,77
1107,230,21
1108,221,10000
1108,222,10000
1108,223,22
1108,224,10
1108,225,96
1108,226,19
1108,227,82
1108,228,10000
1108,229,55
1108,230,73
1109,221,10000
1109,222,83
1109,223,10000
1109,224,5
1109,225,10000
1109,226,10000
1109,227,10000
1109,228,97
1109,229,45
1109,230,10000
1110,221,10000
1110,222,10000
1110,223,71
1110,224,10000
1110,225,13
1110,226,60
1110,227,15
1110,228,10000
1110,229,10000
1110,230,53
1111,221,36
1111,222,10000
1111,223,10000
1111,224,72
1111,225,10000
1111,226,23
1111,227,10000
1111,228,39
1111,229,45
1111,230,10000
1112,221,10000
1112,222,10000
1112,223,12
1112,224,53
1112,225,87
1112,226,77
1112,227,17
1112,228,68
1112,229,62
1112,230,10000
1113,221,29
1113,222,10000
1113,223,10000
1113,224,10000
1113,225,10000
1113,226,48
1113,227,10000
1113,228,94
1113,229,10000
1113,230,10000
1114,221,10000
1114,222,10000
1114,223,10000
1114,224,21
1114,225,10000
1114,226,24
1114,227,10000
1114,228,10000
1114,229,68
1114,230,10000
1115,221,16
1115,222,10000
1115,223,66
1115,224,15
1115,225,46
1115,226,10000
1115,227,20
1115,228,45
1115,229,10000
1115,230,48
1116,221,10000
1116,222,10000
1116,223,11
1116,224,10000
1116,225,70
1116,226,10000
1116,227,59
1116,228,10000
1116,229,37
1116,230,10000
1117,221,39
1117,222,87
1117,223,84
1117,224,10000
1117,225,67
1117,226,92
1117,227,10000
1117,228,10000
1117,229,71
1117,230,5
1118,221,10000
1118,222,11
1118,223,10000
1118,224,39
1118,225,98
1118,226,77
1118,227,68
1118,228,10000
1118,229,95
1118,230,92
1119,221,10000
1119,222,93
1119,223,10000
1119,224,68
1119,225,52
1119,226,11
1119,227,35
1119,228,1
1119,229,10000
1119,230,10000
1120,221,15
1120,222,10000
1120,223,10000
1120,224,22
1120,225,68
1120,226,28
1120,227,99
1120,228,10000
1120,229,3
1120,230,10000
1121,221,79
1121,222,10000
1121,223,10000
1121,224,10000
1121,225,10000
1121,226,12
1121,227,85
1121,228,25
1121,229,10000
1121,230,46
1122,221,60
1122,222,10000
1122,223,10000
1122,224,10000
1122,225,10000
1122,226,17
1122,227,85
1122,228,79
1122,229,10000
1122,230,10000
1123,221,64
1123,222,10000
1123,223,10000
1123,224,92
1123,225,10000
1123,226,87
1123,227,10000
1123,228,10000
1123,229,10000
1123,230,88
1124,221,74
1124,222,35
1124,223,10000
1124,224,38
1124,225,88
1124,226,95
1124,227,10000
