Configuration, ObservableConfiguration, Cost
151,31,10000
151,32,13
151,33,10000
151,34,92
151,35,72
151,36,10000
151,37,73
151,38,68
151,39,45
151,40,96
152,31,61
152,32,10000
152,33,46
152,34,92
152,35,6
152,36,10000
152,37,10000
152,38,10000
152,39,10000
152,40,29
153,31,10000
153,32,10000
153,33,10000
153,34,10000
153,35,10000
153,36,10000
153,37,10000
153,38,25
153,39,91
153,40,10000
154,31,33
154,32,10000
154,33,13
154,34,39
154,35,10000
154,36,10000
154,37,50
154,38,10000
154,39,81
154,40,10000
155,31,50
155,32,12
155,33,10000
155,34,10000
155,35,26
155,36,10000
155,37,10000
155,38,10000
155,39,10000
155,40,39
156,31,57
156,32,25
156,33,94
156,34,89
156,35,10000
156,36,55
156,37,10000
156,38,45
156,39,88
156,40,10000
157,31,10000
157,32,36
157,33,53
157,34,85
157,35,46
157,36,10000
157,37,32
157,38,10000
157,39,91
157,40,10000
158,31,10000
158,32,10000
158,33,10000
158,34,10000
158,35,28
158,36,10000
158,37,10000
158,38,31
158,39,10000
158,40,35
159,31,100
159,32,10000
159,33,16
159,34,28
159,35,58
159,36,49
159,37,10000
159,38,10000
159,39,84
159,40,23
160,31,21
160,32,39
160,33,79
160,34,10000
160,35,10000
160,36,10000
160,37,59
160,38,22
160,39,61
160,40,10
161,31,44
161,32,10000
161,33,66
161,34,10000
161,35,10000
161,36,39
161,37,10000
161,38,10000
161,39,10000
161,40,10000
162,31,98
162,32,18
162,33,64
162,34,20
162,35,10000
162,36,10000
162,37,81
162,38,10000
162,39,10000
162,40,10000
163,31,10000
163,32,21
163,33,10000
163,34,23
163,35,10000
163,36,10000
163,37,10000
163,38,10000
163,39,90
163,40,10000
164,31,35
164,32,10000
164,33,10
164,34,51
164,35,10000
164,36,83
164,37,40
164,38,41
164,39,67
164,40,10000
165,31,10000
165,32,10000
165,33,10000
165,34,22
165,35,10000
165,36,37
165,37,64
165,38,10000
165,39,6
165,40,10000
166,31,45
166,32,10000
166,33,10000
166,34,81
166,35,10000
166,36,4
166,37,71
166,38,10000
166,39,54
166,40,10000
167,31,10000
167,32,10000
167,33,43
167,34,10000
167,35,36
167,36,10000
167,37,88
167,38,64
167,39,10000
167,40,10000
168,31,10000
168,32,94
168,33,67
168,34,10000
168,35,16
168,36,18
168,37,44
168,38,10000
168,39,10000
168,40,10000
169,31,10000
169,32,10000
169,33,10000
169,34,10000
169,35,10000
169,36,10000
169,37,10000
169,38,87
169,39,25
169,40,95
170,31,92
170,32,79
170,33,93
170,34,10000
170,35,66
170,36,10000
170,37,67
170,38,18
170,39,36
170,40,10000
171,31,62
171,32,18
171,33,10000
171,34,10000
171,35,38
171,36,60
171,37,3
171,38,78
171,39,36
171,40,68
172,31,35
172,32,10000
172,33,10000
172,34,44
172,35,10000
172,36,10000
172,37,10000
172,38,10000
172,39,62
172,40,95
173,31,10000
173,32,64
173,33,10000
173,34,10000
173,35,10000
173,36,92
173,37,10000
173,38,23
173,39,53
173,40,87
174,31,97
174,32,10000
174,33,87
174,34,10000
174,35,10000
174,36,10000
174,37,81
174,38,10000
174,39,38
174,40,10000
175,31,40
175,32,10000
175,33,10000
175,34,19
175,35,95
175,36,10000
175,37,3
175,38,10000
175,39,31
175,40,10000
176,31,10000
176,32,93
176,33,72
176,34,99
176,35,33
176,36,1
176,37,10000
176,38,79
176,39,71
176,40,10000
177,31,10000
177,32,10000
177,33,10000
177,34,10000
177,35,10000
177,36,10000
177,37,10000
177,38,84
177,39,10000
177,40,10000
178,31,46
178,32,5
178,33,10000
178,34,10000
178,35,30
178,36,34
178,37,10000
178,38,10000
178,39,96
178,40,27
179,31,14
179,32,10000
179,33,10000
179,34,96
179,35,4
179,36,10000
179,37,34
179,38,10000
179,39,10000
179,40,18
180,31,60
180,32,83
180,33,10000
180,34,10000
180,35,10000
180,36,36
180,37,10000
180,38,99
180,39,10000
180,40,10000
181,31,10000
181,32,10000
181,33,10000
181,34,63
181,35,10000
181,36,10000
181,37,93
181,38,10000
181,39,10000
181,40,10000
182,31,80
182,32,98
182,33,93
182,34,10000
182,35,10000
182,36,60
182,37,6
182,38,10000
182,39,24
182,40,10000
183,31,42
183,32,61
183,33,51
183,34,91
183,35,25
183,36,10000
183,37,62
183,38,10000
183,39,89
183,40,62
184,31,10000
184,32,10000
184,33,43
184,34,51
184,35,10000
184,36,76
184,37,10000
184,38,10000
184,39,10000
184,40,1
185,31,73
185,32,10000
185,33,10000
185,34,10000
185,35,10000
185,36,10000
185,37,10000
185,38,16
185,39,10000
185,40,10000
186,31,52
186,32,35
186,33,10000
186,34,10000
186,35,10000
186,36,10000
186,37,10000
