Configuration, ObservableConfiguration, Cost
251,71,10000
251,72,10000
251,73,75
251,74,10000
251,75,53
251,76,9
251,77,10000
251,78,10000
251,79,93
251,80,9
251,81,10000
251,82,10000
251,83,50
251,84,57
252,71,10000
252,72,10000
252,73,33
252,74,10000
252,75,10000
252,76,10000
252,77,10000
252,78,70
252,79,10000
252,80,52
252,81,46
252,82,22
252,83,10000
252,84,89
253,71,10000
253,72,56
253,73,20
253,74,10000
253,75,10000
253,76,10000
253,77,24
253,78,41
253,79,10000
253,80,95
253,81,10000
253,82,15
253,83,10000
253,84,10000
254,71,67
254,72,22
254,73,97
254,74,10000
254,75,100
254,76,10000
254,77,67
254,78,11
254,79,35
254,80,10000
254,81,27
254,82,91
254,83,28
254,84,10000
255,71,10000
255,72,81
255,73,23
255,74,10000
255,75,35
255,76,10000
255,77,10000
255,78,30
255,79,10000
255,80,10000
255,81,10000
255,82,10000
255,83,10000
255,84,10000
256,71,45
256,72,31
256,73,38
256,74,10000
256,75,10000
256,76,10000
256,77,10000
256,78,10000
256,79,10000
256,80,10000
256,81,26
256,82,10000
256,83,10000
256,84,10000
257,71,10000
257,72,63
257,73,75
257,74,10000
257,75,10000
257,76,48
257,77,10000
257,78,10000
257,79,10000
257,80,10000
257,81,10000
257,82,10000
257,83,10000
257,84,51
258,71,54
258,72,20
258,73,44
258,74,10000
258,75,10000
258,76,51
258,77,10000
258,78,10000
258,79,92
258,80,10000
258,81,57
258,82,10000
258,83,10
258,84,10000
259,71,36
259,72,10000
259,73,10000
259,74,10000
259,75,58
259,76,85
259,77,10000
259,78,10000
259,79,10000
259,80,64
259,81,22
259,82,71
259,83,10000
259,84,10000
260,71,10000
260,72,6
260,73,18
260,74,5
260,75,10000
260,76,10000
260,77,96
260,78,10000
260,79,10000
260,80,73
260,81,10000
260,82,10000
260,83,20
260,84,10000
261,71,10000
261,72,77
261,73,10000
261,74,24
261,75,22
261,76,84
261,77,10000
261,78,10000
261,79,10000
261,80,45
261,81,10000
261,82,18
261,83,10000
261,84,10000
262,71,10000
262,72,10000
262,73,95
262,74,21
262,75,49
262,76,10000
262,77,10000
262,78,10000
262,79,10000
262,80,96
262,81,67
262,82,10000
262,83,44
262,84,10000
263,71,10000
263,72,10000
263,73,41
263,74,2
263,75,10000
263,76,92
263,77,45
263,78,24
263,79,10000
263,80,10000
263,81,1
263,82,90
263,83,10000
263,84,10000
264,71,10000
264,72,38
264,73,6
264,74,49
264,75,10000
264,76,10000
264,77,52
264,78,10000
264,79,20
264,80,10000
264,81,4
264,82,10000
264,83,31
264,84,25
265,71,15
265,72,18
265,73,10000
265,74,10000
265,75,24
265,76,10000
265,77,10000
265,78,10000
265,79,10000
265,80,10000
265,81,4
265,82,10000
265,83,65
265,84,10000
266,71,10000
266,72,19
266,73,7
266,74,9
266,75,10000
266,76,47
266,77,50
266,78,84
266,79,10000
266,80,10000
266,81,21
266,82,57
266,83,10000
266,84,10000
267,71,10000
267,72,45
267,73,10000
267,74,10000
267,75,88
267,76,10000
267,77,10000
267,78,10000
267,79,10000
267,80,10000
267,81,10000
267,82,10000
267,83,10000
267,84,82
268,71,10000
268,72,10000
268,73,10000
268,74,47
268,75,18
268,76,10000
268,77,73
268,78,95
268,79,10000
268,80,10000
268,81,32
268,82,10000
268,83,7
268,84,10000
269,71,10000
269,72,10000
269,73,74
269,74,18
269,75,34
269,76,10000
269,77,10000
269,78,10000
269,79,54
269,80,87
269,81,10000
269,82,10000
269,83,10000
269,84,10000
270,71,10000
270,72,10000
270,73,10000
270,74,10000
270,75,46
270,76,32
270,77,78
270,78,21
270,79,17
270,80,38
270,81,10000
270,82,98
270,83,10000
270,84,73
271,71,10000
271,72,10000
271,73,10000
271,74,20
271,75,10000
271,76,10000
271,77,10000
271,78,71
271,79,24
271,80,10000
271,81,10000
271,82,48
271,83,87
271,84,66
272,71,95
272,72,10000
272,73,47
272,74,10000
272,75,29
272,76,10
272,77,10000
272,78,50
272,79,44
272,80,99
272,81,10000
272,82,26
272,83,10000
272,84,60
273,71,10000
273,72,73
273,73,33
273,74,10000
273,75,10000
273,76,22
273,77,44
273,78,12
273,79,45
273,80,10000
273,81,10000
273,82,10000
273,83,8
273,84,13
274,71,10000
274,72,10000
274,73,10000
274,74,28
274,75,13
274,76,10000
274,77,10000
274,78,10000
274,79,16
274,80,10000
274,81,32
274,82,80
274,83,10000
274,84,5
275,71,10000
275,72,3
275,73,35
275,74,10000
275,75,10000
275,76,10000
275,77,14
275,78,66
275,79,10000
275,80,38
275,81,10000
275,82,10000
275,83,90
275,84,76
276,71,10000
276,72,14
276,73,23
276,74,10000
276,75,10000
276,76,10000
276,77,37
276,78,10000
276,79,51
276,80,63
276,81,10000
276,82,10000
276,83,10000
276,84,4
277,71,10000
277,72,40
277,73,10000
277,74,3
277,75,10000
277,76,10000
277,77,87
277,78,10000
277,79,93
277,80,10000
277,81,48
277,82,64
277,83,10000
277,84,74
278,71,86
278,72,10000
278,73,10000
278,74,39
278,75,2
278,76,10000
278,77,10000
278,78,10000
278,79,10000
278,80,10000
278,81,10000
278,82,60
278,83,10000
278,84,10000
279,71,90
279,72,10000
279,73,10000
279,74,10000
279,75,99
279,76,21
279,77,35
279,78,10000
279,79,10000
279,80,14
279,81,80
279,82,93
279,83,90
279,84,10000
280,71,33
280,72,10000
280,73,19
280,74,10000
280,75,79
280,76,10000
280,77,64
280,78,88
280,79,10000
280,80,48
280,81,10000
280,82,18
280,83,2
280,84,47
281,71,4
281,72,56
281,73,10000
281,74,79
281,75,10000
281,76,92
281,77,72
281,78,71
281,79,85
281,80,40
281,81,10000
281,82,57
281,83,10000
281,84,10000
282,71,10000
282,72,20
282,73,10000
282,74,18
282,75,32
282,76,33
282,77,10000
282,78,65
282,79,10000
282,80,10000
282,81,10000
282,82,43
282,83,10000
282,84,10000
283,71,21
283,72,64
283,73,16
