Configuration, ObservableConfiguration, Cost
351,71,31
351,72,77
351,73,10000
351,74,15
351,75,59
351,76,12
351,77,37
351,78,10000
351,79,31
351,80,43
352,71,10000
352,72,10000
352,73,10000
352,74,10000
352,75,53
352,76,80
352,77,10000
352,78,10000
352,79,94
352,80,10000
353,71,55
353,72,11
353,73,10000
353,74,10000
353,75,10000
353,76,10000
353,77,10000
353,78,10000
353,79,3
353,80,89
354,71,22
354,72,10000
354,73,6
354,74,10000
354,75,77
354,76,10000
354,77,35
354,78,10000
354,79,2
354,80,46
355,71,99
355,72,55
355,73,4
355,74,10000
355,75,65
355,76,10000
355,77,10000
355,78,51
355,79,67
355,80,10000
356,71,10000
356,72,42
356,73,10000
356,74,54
356,75,10000
356,76,63
356,77,48
356,78,10000
356,79,10000
356,80,10000
357,71,10000
357,72,53
357,73,10000
357,74,57
357,75,26
357,76,54
357,77,10000
357,78,10000
357,79,42
357,80,10000
358,71,99
358,72,10000
358,73,67
358,74,87
358,75,10000
358,76,10000
358,77,10000
358,78,18
358,79,10000
358,80,2
359,71,29
359,72,35
359,73,77
359,74,10000
359,75,47
359,76,10000
359,77,55
359,78,10000
359,79,7
359,80,28
360,71,53
360,72,85
360,73,28
360,74,13
360,75,10000
360,76,90
360,77,10000
360,78,10000
360,79,10000
360,80,64
361,71,10000
361,72,10000
361,73,10000
361,74,10000
361,75,10000
361,76,72
361,77,10000
361,78,10000
361,79,81
361,80,10000
362,71,10000
362,72,24
362,73,53
362,74,77
362,75,77
362,76,10000
362,77,10000
362,78,94
362,79,10000
362,80,10000
363,71,10000
363,72,10000
363,73,10000
363,74,15
363,75,10000
363,76,10000
363,77,10000
363,78,10000
363,79,10000
363,80,10000
364,71,10000
364,72,86
364,73,53
364,74,80
364,75,10000
364,76,10000
364,77,10000
364,78,8
364,79,2
364,80,10000
365,71,40
365,72,94
365,73,10000
365,74,10000
365,75,10000
365,76,37
365,77,10000
365,78,10000
365,79,26
365,80,10000
366,71,10000
366,72,18
366,73,57
366,74,10000
366,75,57
366,76,10000
366,77,23
366,78,25
366,79,10000
