Configuration, ObservableConfiguration, Cost
1401,281,10000
1401,282,63
1401,283,10000
1401,284,10000
1401,285,10000
1401,286,43
1401,287,70
1401,288,10000
1401,289,40
1401,290,65
1402,281,65
1402,282,10000
1402,283,10000
1402,284,68
1402,285,2
1402,286,70
1402,287,12
1402,288,10000
1402,289,92
1402,290,71
1403,281,10000
1403,282,10000
1403,283,10000
1403,284,21
1403,285,94
1403,286,21
1403,287,70
1403,288,42
1403,289,91
1403,290,7
1404,281,10000
1404,282,10000
1404,283,10000
1404,284,10000
1404,285,27
1404,286,42
1404,287,25
1404,288,10000
1404,289,10000
1404,290,30
1405,281,5
1405,282,10000
1405,283,10000
1405,284,75
1405,285,96
1405,286,10000
1405,287,10000
1405,288,15
1405,289,10000
1405,290,65
1406,281,10000
1406,282,10000
1406,283,37
1406,284,79
1406,285,90
1406,286,10000
1406,287,10000
1406,288,47
1406,289,10000
1406,290,32
1407,281,10000
1407,282,87
1407,283,37
1407,284,10000
1407,285,80
1407,286,10000
1407,287,10000
1407,288,10000
1407,289,19
1407,290,5
1408,281,10000
1408,282,10000
1408,283,57
1408,284,10000
1408,285,19
1408,286,10000
1408,287,10000
1408,288,54
1408,289,10000
1408,290,10000
1409,281,10000
1409,282,16
1409,283,10000
1409,284,20
1409,285,10000
1409,286,10000
1409,287,62
1409,288,10000
1409,289,45
1409,290,10000
1410,281,81
1410,282,96
1410,283,66
1410,284,10
1410,285,10000
1410,286,10000
1410,287,10000
1410,288,10000
1410,289,79
1410,290,8
1411,281,88
1411,282,10000
1411,283,10000
1411,284,10000
1411,285,10000
1411,286,86
1411,287,10000
1411,288,10000
1411,289,67
1411,290,13
1412,281,30
1412,282,99
1412,283,10000
1412,284,10000
1412,285,10000
1412,286,60
1412,287,19
1412,288,10000
1412,289,36
1412,290,10000
1413,281,81
1413,282,10000
1413,283,72
1413,284,22
1413,285,60
1413,286,10000
1413,287,71
1413,288,10000
1413,289,3
1413,290,10000
1414,281,10000
1414,282,56
1414,283,94
1414,284,53
1414,285,34
1414,286,10000
1414,287,10000
1414,288,80
1414,289,62
1414,290,61
1415,281,10000
1415,282,10000
1415,283,10000
1415,284,10000
1415,285,10000
1415,286,29
1415,287,10000
1415,288,10000
1415,289,10000
1415,290,10000
1416,281,6
1416,282,36
1416,283,10000
1416,284,51
1416,285,10000
1416,286,10000
1416,287,46
1416,288,46
1416,289,10000
1416,290,100
1417,281,5
1417,282,10000
1417,283,72
1417,284,10000
1417,285,10000
1417,286,10000
1417,287,10000
1417,288,67
1417,289,51
1417,290,32
1418,281,75
1418,282,10000
1418,283,97
1418,284,10000
1418,285,31
1418,286,10000
1418,287,10000
1418,288,10000
1418,289,65
1418,290,70
1419,281,10000
1419,282,94
1419,283,10000
1419,284,10000
1419,285,10000
1419,286,10000
1419,287,10000
1419,288,10000
1419,289,64
1419,290,10000
1420,281,10000
1420,282,10000
1420,283,10000
1420,284,10000
1420,285,49
1420,286,10000
1420,287,25
1420,288,83
1420,289,97
1420,290,56
1421,281,67
1421,282,10000
1421,283,23
1421,284,10000
1421,285,24
1421,286,20
1421,287,10000
1421,288,10000
1421,289,79
1421,290,10000
1422,281,10000
1422,282,10000
1422,283,10000
1422,284,90
1422,285,10000
1422,286,10000
1422,287,10000
1422,288,78
1422,289,10000
1422,290,10000
1423,281,74
1423,282,94
1423,283,10000
1423,284,10000
1423,285,88
1423,286,19
1423,287,41
1423,288,10000
1423,289,10000
1423,290,10000
1424,281,87
1424,282,10000
1424,283,56
1424,284,10000
1424,285,10000
1424,286,22
1424,287,81
1424,288,27
1424,289,10000
1424,290,10000
1425,281,10000
1425,282,99
1425,283,10000
1425,284,10000
1425,285,82
1425,286,10000
1425,287,10000
1425,288,60
1425,289,70
1425,290,10000
1426,281,10000
1426,282,26
1426,283,31
1426,284,79
1426,285,10000
1426,286,16
1426,287,10000
1426,288,17
1426,289,10000
1426,290,80
1427,281,10000
1427,282,10000
1427,283,10000
1427,284,48
1427,285,65
1427,286,14
1427,287,43
1427,288,10000
1427,289,10000
1427,290,87
1428,281,42
1428,282,42
1428,283,56
1428,284,10000
1428,285,10000
1428,286,10000
1428,287,31
1428,288,68
1428,289,10000
1428,290,10000
1429,281,10000
1429,282,91
1429,283,3
1429,284,10000
1429,285,51
1429,286,56
1429,287,10000
1429,288,16
1429,289,10000
1429,290,10000
1430,281,56
1430,282,10000
1430,283,10000
1430,284,10000
1430,285,10000
1430,286,2
1430,287,14
1430,288,49
1430,289,10000
1430,290,10000
1431,281,9
1431,282,24
1431,283,10000
1431,284,16
1431,285,10000
1431,286,66
1431,287,10000
1431,288,10000
1431,289,10000
1431,290,10000
1432,281,10000
1432,282,79
1432,283,47
1432,284,27
1432,285,7
1432,286,10000
1432,287,11
1432,288,10000
1432,289,55
1432,290,10000
1433,281,10000
1433,282,10000
1433,283,56
1433,284,35
1433,285,10000
1433,286,4
1433,287,38
1433,288,10000
1433,289,10000
1433,290,10000
1434,281,10000
1434,282,44
1434,283,79
1434,284,10000
1434,285,49
1434,286,10000
1434,287,100
1434,288,62
1434,289,10000
1434,290,10000
1435,281,86
1435,282,10000
1435,283,28
1435,284,10000
1435,285,82
1435,286,98
1435,287,10000
1435,288,46
1435,289,10000
1435,290,79
1436,281,10000
1436,282,10000
1436,283,78
1436,284,10000
1436,285,19
1436,286,100
1436,287,76
1436,288,63
1436,289,87
1436,290,58
1437,281,10000
1437,282,10000
1437,283,10000
1437,284,10000
1437,285,10000
1437,286,10000
1437,287,10000
1437,288,10000
1437,289,75
1437,290,10000
1438,281,10000
1438,282,10000
1438,283,35
1438,284,35
1438,285,10000
1438,286,28
1438,287,10000
1438,288,88
1438,289,10000
1438,290,10000
1439,281,10000
1439,282,36
1439,283,42
1439,284,10000
1439,285,10000
1439,286,2
1439,287,78
1439,288,10000
1439,289,10000
1439,290,10000
1440,281,91
1440,282,10000
1440,283,10000
1440,284,10000
1440,285,10000
1440,286,75
1440,287,35
1440,288,10000
1440,289,48
1440,290,10000
1441,281,20
1441,282,90
1441,283,10000
1441,284,1
1441,285,10000
1441,286,10000
1441,287,68
1441,288,6
1441,289,10000
1441,290,10000
1442,281,10000
1442,282,10000
1442,283,41
1442,284,2
1442,285,74
1442,286,10
1442,287,28
1442,288,48
1442,289,10000
1442,290,95
1443,281,10000
1443,282,10000
1443,283,10000
1443,284,92
1443,285,15
1443,286,2
1443,287,29
1443,288,10000
1443,289,10
1443,290,28
1444,281,10000
1444,282,79
1444,283,4
1444,284,10000
1444,285,10
1444,286,55
1444,287,63
1444,288,10000
1444,289,10000
1444,290,63
1445,281,10000
1445,282,10000
1445,283,19
1445,284,10000
1445,285,96
1445,286,52
1445,287,21
1445,288,4
1445,289,76
1445,290,10000
1446,281,10000
1446,282,10000
1446,283,10000
1446,284,10000
1446,285,15
1446,286,60
1446,287,10000
1446,288,10000
1446,289,21
1446,290,10000
1447,281,24
1447,282,10000
1447,283,77
1447,284,10000
1447,285,10000
1447,286,10000
1447,287,10000
1447,288,84
1447,289,63
1447,290,44
1448,281,10000
1448,282,10000
1448,283,98
1448,284,10000
1448,285,40
1448,286,10000
1448,287,10000
1448,288,10000
1448,289,74
1448,290,10000
1449,281,42
1449,282,10000
1449,283,33
1449,284,10000
1449,285,10000
1449,286,10000
1449,287,41
1449,288,10000
1449,289,10000
1449,290,65
1450,281,7
1450,282,10000
1450,283,21
1450,284,97
1450,285,10000
1450,286,10000
1450,287,3
1450,288,71
1450,289,10000
1450,290,95
Budget,250
