Configuration, ObservableConfiguration, Cost
1401,281,10000
1401,282,10000
1401,283,13
1401,284,10000
1401,285,49
1401,286,10000
1401,287,10000
1401,288,8
1401,289,22
1401,290,33
1402,281,9
1402,282,45
1402,283,10000
1402,284,10000
1402,285,1
1402,286,57
1402,287,78
1402,288,10000
1402,289,10000
1402,290,100
1403,281,10000
1403,282,10000
1403,283,10000
1403,284,10000
1403,285,6
1403,286,10000
1403,287,10000
1403,288,10000
1403,289,58
1403,290,93
1404,281,10000
1404,282,32
1404,283,10000
1404,284,42
1404,285,86
1404,286,10000
1404,287,9
1404,288,10000
1404,289,10000
1404,290,10000
1405,281,2
1405,282,54
1405,283,61
1405,284,10000
1405,285,70
1405,286,10000
1405,287,47
1405,288,10000
1405,289,62
1405,290,10000
1406,281,10000
1406,282,10000
1406,283,33
1406,284,10000
1406,285,10000
1406,286,66
1406,287,29
1406,288,83
1406,289,10000
1406,290,70
1407,281,10000
1407,282,10000
1407,283,19
1407,284,23
1407,285,53
1407,286,80
1407,287,18
1407,288,10000
1407,289,10000
1407,290,10000
1408,281,63
1408,282,76
1408,283,10000
1408,284,10000
1408,285,86
1408,286,10000
1408,287,10000
1408,288,1
1408,289,96
1408,290,4
1409,281,10000
1409,282,10000
1409,283,63
1409,284,10000
1409,285,10000
1409,286,13
1409,287,16
1409,288,10000
1409,289,10000
1409,290,27
1410,281,30
1410,282,55
1410,283,10000
1410,284,10000
1410,285,10000
1410,286,10000
1410,287,38
1410,288,10000
1410,289,10000
1410,290,10000
1411,281,48
1411,282,10000
1411,283,94
1411,284,10000
1411,285,10000
1411,286,24
1411,287,89
1411,288,51
1411,289,24
1411,290,72
1412,281,71
1412,282,10000
1412,283,10
1412,284,7
1412,285,3
1412,286,10000
1412,287,10000
1412,288,10000
1412,289,61
1412,290,10000
1413,281,10000
1413,282,20
1413,283,83
1413,284,76
1413,285,10000
1413,286,10000
1413,287,10000
1413,288,96
1413,289,10000
1413,290,10000
1414,281,10000
1414,282,57
1414,283,10000
1414,284,14
1414,285,10000
1414,286,47
1414,287,10000
1414,288,84
1414,289,10000
1414,290,49
1415,281,10000
1415,282,10000
1415,283,10000
1415,284,72
1415,285,10000
1415,286,10000
1415,287,10000
1415,288,46
1415,289,10000
1415,290,10000
1416,281,73
1416,282,10000
1416,283,82
1416,284,49
1416,285,10000
1416,286,29
1416,287,76
1416,288,10000
1416,289,10000
1416,290,10000
1417,281,10000
1417,282,60
1417,283,1
1417,284,18
1417,285,10000
1417,286,10000
1417,287,4
1417,288,4
1417,289,10000
1417,290,79
1418,281,10000
1418,282,10000
1418,283,10000
1418,284,10000
1418,285,10000
1418,286,44
