Configuration, ObservableConfiguration, Cost
601,121,10000,
601,122,10000,
601,123,9,
601,124,10000,
601,125,81,
601,126,93,
601,127,10000,
601,128,39,
601,129,10000,
601,130,10000,
602,121,38,
602,122,10000,
602,123,10000,
602,124,25,
602,125,10000,
602,126,10000,
602,127,10000,
602,128,10000,
602,129,10000,
602,130,44,
603,121,10000,
603,122,10000,
603,123,22,
603,124,1,
603,125,87,
603,126,10000,
603,127,90,
603,128,35,
603,129,36,
603,130,23,
604,121,14,
604,122,10000,
604,123,31,
604,124,38,
604,125,10000,
604,126,99,
604,127,10000,
604,128,10000,
604,129,10000,
604,130,74,
605,121,10000,
605,122,10000,
605,123,10000,
605,124,10000,
605,125,97,
605,126,10000,
605,127,10000,
605,128,56,
605,129,45,
605,130,97,
606,121,10000,
606,122,10000,
606,123,10000,
606,124,50,
606,125,83,
606,126,10000,
606,127,10000,
606,128,61,
606,129,27,
606,130,10000,
607,121,10000,
607,122,6,
607,123,10000,
607,124,10000,
607,125,10000,
607,126,10000,
607,127,11,
607,128,10000,
607,129,14,
607,130,10000,
608,121,90,
608,122,10000,
608,123,19,
608,124,87,
608,125,52,
608,126,54,
608,127,10000,
608,128,10000,
608,129,10000,
608,130,24,
609,121,48,
609,122,10000,
609,123,28,
609,124,10000,
609,125,10000,
609,126,10000,
609,127,44,
609,128,52,
609,129,93,
609,130,19,
610,121,10000,
610,122,10000,
610,123,72,
610,124,10000,
610,125,10000,
610,126,33,
610,127,39,
610,128,10000,
610,129,10000,
610,130,10000,
611,121,10000,
611,122,88,
611,123,28,
611,124,10000,
611,125,10000,
611,126,10000,
611,127,10000,
611,128,92,
611,129,10000,
611,130,53,
612,121,10000,
612,122,10000,
612,123,10000,
612,124,50,
612,125,10000,
612,126,66,
612,127,59,
612,128,28,
612,129,10000,
612,130,6,
613,121,10000,
613,122,10000,
613,123,10000,
613,124,10000,
613,125,10,
613,126,10000,
613,127,10000,
613,128,10000,
613,129,75,
613,130,81,
614,121,35,
614,122,10000,
614,123,41,
614,124,27,
614,125,49,
614,126,10000,
614,127,20,
614,128,74,
614,129,29,
614,130,10000,
615,121,42,
615,122,10000,
615,123,10000,
615,124,7,
615,125,10000,
615,126,90,
615,127,4,
615,128,67,
615,129,10000,
615,130,10000,
616,121,10000,
616,122,96,
616,123,44,
616,124,4,
616,125,14,
616,126,29,
616,127,10000,
616,128,10000,
