System Num, Configuration
1001,1035,
1002,1017,
1003,1021,
1004,1024,
1005,1045,
1006,1034,
1007,1012,
1008,1004,
1009,1021,
1010,1009,
1011,1027,
1012,1017,
1013,1019,
1014,1006,
1015,1025,
1016,1018,
1017,1042,
1018,1032,
1019,1038,
1020,1021,
1021,1042,
1022,1008,
1023,1025,
1024,1023,
1025,1001,
1026,1024,
1027,1050,
1028,1050,
1029,1011,
1030,1046,
1031,1029,
1032,1015,
1033,1005,
1034,1003,
1035,1046,
1036,1016,
1037,1049,
1038,1050,
1039,1014,
1040,1011,
1041,1039,
1042,1034,
1043,1039,
1044,1028,
1045,1033,
1046,1016,
1047,1029,
1048,1042,
1049,1003,
1050,1017,
