System Num, Configuration
1201,1240,
1202,1209,
1203,1202,
1204,1222,
1205,1219,
1206,1240,
1207,1236,
1208,1212,
1209,1236,
1210,1220,
1211,1212,
1212,1236,
1213,1237,
1214,1218,
1215,1211,
1216,1213,
1217,1235,
1218,1221,
1219,1245,
1220,1249,
1221,1236,
1222,1242,
1223,1248,
1224,1250,
1225,1219,
1226,1240,
1227,1249,
1228,1204,
1229,1235,
1230,1225,
1231,1229,
1232,1212,
1233,1223,
1234,1210,
1235,1246,
1236,1212,
1237,1208,
1238,1233,
1239,1247,
1240,1201,
1241,1229,
1242,1246,
1243,1237,
1244,1236,
1245,1225,
1246,1206,
1247,1222,
1248,1231,
1249,1205,
1250,1211,
