System Num, Configuration
1001,1005,
1002,1012,
1003,1023,
1004,1025,
1005,1025,
1006,1011,
1007,1025,
1008,1038,
1009,1037,
1010,1022,
1011,1016,
1012,1012,
1013,1011,
1014,1019,
1015,1040,
1016,1009,
1017,1023,
1018,1029,
1019,1049,
1020,1015,
1021,1003,
1022,1014,
1023,1035,
1024,1039,
1025,1023,
1026,1002,
1027,1026,
1028,1045,
1029,1010,
1030,1028,
1031,1012,
1032,1044,
1033,1042,
1034,1046,
1035,1036,
1036,1043,
1037,1008,
1038,1021,
1039,1037,
1040,1032,
1041,1004,
1042,1019,
1043,1030,
1044,1037,
1045,1022,
1046,1025,
1047,1037,
1048,1028,
1049,1019,
1050,1040,
