System Num, Configuration
1001,1017,
1002,1003,
1003,1013,
1004,1001,
1005,1046,
1006,1010,
1007,1035,
1008,1038,
1009,1006,
1010,1023,
1011,1012,
1012,1031,
1013,1007,
1014,1024,
1015,1040,
1016,1024,
1017,1035,
1018,1009,
1019,1038,
1020,1026,
1021,1030,
1022,1035,
1023,1027,
1024,1034,
1025,1028,
1026,1011,
1027,1047,
1028,1020,
1029,1025,
1030,1023,
1031,1039,
1032,1020,
1033,1007,
1034,1027,
1035,1046,
1036,1016,
1037,1031,
1038,1004,
1039,1030,
1040,1029,
1041,1006,
1042,1048,
1043,1021,
1044,1031,
1045,1020,
1046,1026,
1047,1022,
1048,1040,
1049,1003,
1050,1043,
