System Num, Configuration
1401,1438,
1402,1415,
1403,1435,
1404,1402,
1405,1422,
1406,1432,
1407,1422,
1408,1431,
1409,1435,
1410,1436,
1411,1445,
1412,1415,
1413,1424,
1414,1401,
1415,1413,
1416,1449,
1417,1434,
1418,1436,
1419,1429,
1420,1443,
1421,1425,
1422,1450,
1423,1439,
1424,1433,
1425,1448,
1426,1415,
1427,1437,
1428,1438,
1429,1429,
1430,1409,
1431,1412,
1432,1416,
1433,1448,
1434,1435,
1435,1404,
1436,1434,
1437,1436,
1438,1416,
1439,1421,
1440,1418,
1441,1439,
1442,1421,
1443,1447,
1444,1405,
1445,1435,
1446,1438,
1447,1421,
1448,1404,
1449,1440,
1450,1420,
