System Num, Configuration
1101,1109,
1102,1103,
1103,1108,
1104,1142,
1105,1139,
1106,1102,
1107,1146,
1108,1139,
1109,1102,
1110,1144,
1111,1106,
1112,1117,
1113,1130,
1114,1105,
1115,1123,
1116,1122,
1117,1107,
1118,1114,
1119,1107,
1120,1150,
1121,1101,
1122,1137,
1123,1127,
1124,1101,
1125,1132,
1126,1146,
1127,1113,
1128,1146,
1129,1130,
1130,1139,
1131,1134,
1132,1102,
1133,1131,
1134,1139,
1135,1110,
1136,1117,
1137,1130,
1138,1141,
1139,1126,
1140,1123,
1141,1105,
1142,1107,
1143,1113,
1144,1132,
1145,1113,
1146,1111,
1147,1135,
1148,1105,
1149,1117,
1150,1117,
