System Num, Configuration
1351,1389,
1352,1362,
1353,1353,
1354,1375,
1355,1352,
1356,1389,
1357,1387,
1358,1376,
1359,1373,
1360,1363,
1361,1369,
1362,1361,
1363,1354,
1364,1379,
1365,1375,
1366,1393,
1367,1359,
1368,1399,
1369,1364,
1370,1371,
1371,1357,
1372,1391,
1373,1366,
1374,1389,
1375,1377,
1376,1391,
1377,1393,
1378,1392,
1379,1351,
1380,1382,
1381,1397,
1382,1352,
1383,1357,
1384,1352,
1385,1373,
1386,1374,
1387,1370,
1388,1387,
1389,1373,
1390,1378,
1391,1394,
1392,1395,
1393,1369,
1394,1372,
1395,1357,
1396,1353,
1397,1366,
1398,1359,
1399,1396,
1400,1369,
