System Num, Configuration
1401,1445,
1402,1438,
1403,1417,
1404,1423,
1405,1413,
1406,1417,
1407,1437,
1408,1415,
1409,1401,
1410,1429,
1411,1409,
1412,1403,
1413,1450,
1414,1423,
1415,1442,
1416,1408,
1417,1432,
1418,1403,
1419,1421,
1420,1404,
1421,1405,
1422,1427,
1423,1444,
1424,1441,
1425,1442,
1426,1438,
1427,1417,
1428,1417,
1429,1403,
1430,1435,
1431,1439,
1432,1428,
1433,1405,
1434,1416,
1435,1431,
1436,1427,
1437,1440,
1438,1408,
1439,1441,
1440,1416,
1441,1450,
1442,1420,
1443,1431,
1444,1445,
1445,1445,
1446,1437,
1447,1449,
1448,1445,
1449,1436,
1450,1446,
