System Num, Configuration
1051,1061,
1052,1052,
1053,1057,
1054,1088,
1055,1079,
1056,1073,
1057,1077,
1058,1066,
1059,1085,
1060,1087,
1061,1099,
1062,1072,
1063,1054,
1064,1089,
1065,1055,
1066,1070,
1067,1060,
1068,1087,
1069,1052,
1070,1065,
1071,1084,
1072,1078,
1073,1071,
1074,1075,
1075,1078,
1076,1086,
1077,1076,
1078,1089,
1079,1063,
1080,1095,
1081,1087,
1082,1093,
1083,1062,
1084,1074,
1085,1052,
1086,1096,
1087,1073,
1088,1089,
1089,1099,
1090,1098,
1091,1066,
1092,1066,
1093,1080,
1094,1085,
1095,1066,
1096,1064,
1097,1058,
1098,1057,
1099,1054,
1100,1057,
