System Num, Configuration
1301,1315,
1302,1328,
1303,1310,
1304,1312,
1305,1320,
1306,1316,
1307,1331,
1308,1317,
1309,1302,
1310,1326,
1311,1304,
1312,1337,
1313,1350,
1314,1350,
1315,1306,
1316,1303,
1317,1341,
1318,1342,
1319,1338,
1320,1323,
1321,1320,
1322,1305,
1323,1324,
1324,1313,
1325,1349,
1326,1314,
1327,1334,
1328,1305,
1329,1344,
1330,1347,
1331,1307,
1332,1338,
1333,1346,
1334,1319,
1335,1334,
1336,1309,
1337,1303,
1338,1333,
1339,1305,
1340,1350,
1341,1302,
1342,1347,
1343,1318,
1344,1336,
1345,1322,
1346,1350,
1347,1343,
1348,1304,
1349,1342,
1350,1332,
