System Num, Configuration
1301,1338,
1302,1302,
1303,1317,
1304,1349,
1305,1307,
1306,1304,
1307,1350,
1308,1341,
1309,1342,
1310,1338,
1311,1333,
1312,1313,
1313,1347,
1314,1342,
1315,1307,
1316,1346,
1317,1313,
1318,1338,
1319,1315,
1320,1332,
1321,1323,
1322,1344,
1323,1308,
1324,1318,
1325,1315,
1326,1312,
1327,1305,
1328,1340,
1329,1346,
1330,1342,
1331,1332,
1332,1332,
1333,1323,
1334,1308,
1335,1309,
1336,1319,
1337,1320,
1338,1320,
1339,1327,
1340,1315,
1341,1313,
1342,1343,
1343,1316,
1344,1340,
1345,1344,
1346,1324,
1347,1304,
1348,1313,
1349,1349,
1350,1308,
