System Num, Configuration
1251,1265,
1252,1294,
1253,1286,
1254,1287,
1255,1253,
1256,1280,
1257,1253,
1258,1274,
1259,1300,
1260,1300,
1261,1284,
1262,1291,
1263,1271,
1264,1252,
1265,1291,
1266,1268,
1267,1251,
1268,1275,
1269,1260,
1270,1293,
1271,1280,
1272,1263,
1273,1294,
1274,1252,
1275,1296,
1276,1252,
1277,1274,
1278,1293,
1279,1287,
1280,1274,
1281,1289,
1282,1290,
1283,1280,
1284,1281,
1285,1252,
1286,1292,
1287,1283,
1288,1274,
1289,1280,
1290,1289,
1291,1256,
1292,1276,
1293,1277,
1294,1294,
1295,1259,
1296,1253,
1297,1252,
1298,1296,
1299,1256,
1300,1299,
