System Num, Configuration
1251,1253,
1252,1270,
1253,1253,
1254,1251,
1255,1280,
1256,1267,
1257,1256,
1258,1285,
1259,1297,
1260,1279,
1261,1269,
1262,1282,
1263,1280,
1264,1299,
1265,1253,
1266,1256,
1267,1287,
1268,1263,
1269,1289,
1270,1286,
1271,1251,
1272,1295,
1273,1254,
1274,1300,
1275,1252,
1276,1285,
1277,1271,
1278,1287,
1279,1296,
1280,1256,
1281,1253,
1282,1300,
1283,1284,
1284,1275,
1285,1278,
1286,1281,
1287,1281,
1288,1257,
1289,1256,
1290,1289,
1291,1287,
1292,1268,
1293,1271,
1294,1270,
1295,1264,
1296,1259,
1297,1268,
1298,1259,
1299,1270,
1300,1266,
