System Num, Configuration
1351,1387,
1352,1387,
1353,1379,
1354,1387,
1355,1374,
1356,1361,
1357,1356,
1358,1359,
1359,1390,
1360,1357,
1361,1359,
1362,1396,
1363,1377,
1364,1353,
1365,1353,
1366,1396,
1367,1355,
1368,1395,
1369,1365,
1370,1392,
1371,1351,
1372,1374,
1373,1387,
1374,1381,
1375,1378,
1376,1389,
1377,1353,
1378,1396,
1379,1360,
1380,1375,
1381,1367,
1382,1382,
1383,1360,
1384,1398,
1385,1397,
1386,1359,
1387,1389,
1388,1352,
1389,1376,
1390,1395,
1391,1393,
1392,1364,
1393,1360,
1394,1395,
1395,1364,
1396,1376,
1397,1354,
1398,1382,
1399,1362,
1400,1354,
