Observable Num, Coverable Configurations
191,957-958-959-960-962-963-964-965-969-971-972-976-977-978-985-986-987-990-991-992-993-,
192,952-953-957-959-960-963-964-966-967-970-971-972-973-975-977-978-979-980-985-990-992-993-994-997-999-1000-,
193,955-957-961-962-964-965-967-968-970-971-972-973-975-977-979-980-995-999-,
194,952-955-956-958-959-960-961-962-963-972-973-974-977-982-984-986-987-989-990-991-992-993-996-998-999-1000-,
195,951-952-954-955-958-959-961-962-964-968-969-971-978-980-981-983-984-985-986-987-988-989-992-993-994-995-996-997-998-999-,
196,954-955-961-963-967-968-970-972-973-976-977-982-983-986-987-989-991-992-993-994-998-999-1000-,
197,951-953-954-956-958-960-962-964-971-972-975-977-981-983-988-989-991-993-994-995-996-,
198,953-955-957-960-961-962-965-966-970-971-972-973-974-975-976-978-979-980-981-982-983-985-986-988-989-990-992-997-999-1000-,
199,953-954-957-962-963-964-965-968-969-972-973-974-975-976-977-978-980-981-983-984-986-989-990-991-992-993-994-995-997-998-1000-,
200,951-952-955-957-958-959-964-966-968-970-971-972-973-975-976-977-978-980-983-986-989-991-992-993-994-996-997-998-1000-,
