Observable Num, Coverable Configurations
3553,15901-15905-15906-15907-15908-15910-15911-15912-15914-15916-15917-15919-15923-15925-15926-15929-15930-15931-15938-15946-15947-15949-15950-,
3554,15903-15908-15909-15913-15914-15915-15916-15917-15919-15920-15921-15922-15923-15926-15927-15929-15933-15934-15937-15939-15941-15942-15943-15947-15948-,
3555,15901-15905-15906-15910-15911-15913-15915-15917-15919-15920-15925-15926-15930-15931-15932-15933-15934-15935-15936-15938-15939-15941-15943-15944-15947-15948-15949-15950-,
3556,15908-15915-15916-15917-15918-15920-15923-15924-15926-15927-15929-15935-15936-15937-15940-15941-15942-15947-15948-15949-15950-,
3557,15902-15904-15905-15907-15908-15910-15912-15913-15916-15918-15920-15921-15923-15924-15925-15926-15927-15928-15930-15934-15935-15937-15944-15945-15948-15949-,
3558,15902-15903-15904-15906-15908-15912-15913-15920-15922-15925-15928-15929-15930-15932-15934-15937-15939-15940-15945-15948-15949-15950-,
3559,15903-15904-15907-15908-15909-15911-15914-15915-15916-15917-15918-15919-15920-15923-15925-15926-15927-15929-15930-15931-15935-15936-15937-15938-15939-15940-15941-15947-15949-15950-,
3560,15901-15905-15908-15909-15911-15918-15919-15921-15922-15923-15924-15926-15928-15929-15931-15932-15934-15936-15941-15943-15948-15949-,
3561,15903-15904-15905-15906-15908-15909-15910-15911-15912-15913-15915-15916-15917-15919-15920-15922-15924-15925-15928-15929-15930-15932-15933-15934-15935-15936-15939-15940-15941-15942-15943-15944-15945-15949-,
3562,15903-15904-15909-15911-15913-15917-15918-15919-15920-15922-15923-15924-15926-15927-15928-15929-15930-15931-15932-15933-15934-15935-15936-15937-15938-15940-15941-15942-15943-15945-15947-15948-15950-,
3563,15903-15908-15912-15913-15915-15916-15917-15918-15923-15927-15928-15932-15933-15935-15936-15937-15938-15941-15942-15944-15946-15948-15949-,
3564,15901-15902-15904-15906-15909-15910-15913-15915-15917-15919-15922-15924-15926-15928-15929-15935-15937-15940-15942-15943-15944-15945-15948-15950-,
3565,15902-15903-15904-15906-15910-15911-15914-15915-15916-15919-15921-15930-15935-15936-15938-15940-15941-15945-15946-15947-15948-15950-,
3566,15901-15902-15904-15906-15907-15908-15910-15919-15925-15926-15928-15931-15937-15938-15940-15941-15945-15946-15947-15950-,
