Observable Num, Coverable Configurations
1,1-3-8-9-10-12-14-15-16-19-21-23-24-25-26-33-34-35-36-37-39-43-48-50-,
2,1-5-8-9-12-13-15-16-17-20-21-23-24-27-28-30-31-32-34-35-36-37-38-42-45-47-48-50-,
3,2-3-4-6-10-11-12-13-15-16-17-22-24-26-27-30-32-33-36-38-41-42-43-44-46-47-49-50-,
4,3-5-10-13-14-19-20-21-23-24-25-26-28-30-32-35-39-40-47-48-,
5,2-3-4-5-7-8-9-10-12-13-14-15-16-22-23-33-34-35-36-38-41-42-47-48-,
6,1-3-5-6-7-10-11-12-13-16-17-19-20-25-26-27-30-31-32-33-34-35-36-41-42-43-45-46-49-,
7,1-2-3-4-6-7-8-11-12-14-15-16-19-20-22-23-24-27-28-29-33-34-35-36-38-40-41-42-44-46-48-49-,
8,1-2-4-8-9-14-16-17-18-21-22-24-27-31-32-33-34-35-38-42-46-47-,
9,1-3-5-6-9-12-13-16-17-18-20-23-24-28-29-31-32-33-35-38-42-43-46-48-49-50-,
10,2-12-13-14-15-17-18-20-21-25-26-28-29-32-33-37-38-41-43-46-50-,
11,1-2-4-6-8-11-12-13-14-16-17-18-20-21-24-25-26-28-29-30-32-33-34-35-36-37-39-43-45-46-47-49-50-,
12,1-3-4-5-6-8-9-16-19-20-22-24-26-27-29-31-32-33-34-36-37-40-44-45-49-,
13,2-3-6-9-10-12-13-15-17-18-21-22-24-26-30-31-32-36-37-38-40-41-42-44-49-50-,
14,1-4-7-8-14-15-16-20-22-23-24-25-27-28-29-30-32-33-35-36-37-41-42-44-45-46-47-48-49-50-,
15,1-2-3-5-6-8-12-14-15-16-17-18-21-22-26-27-32-33-34-35-36-39-40-43-44-46-,
