Observable Num, Coverable Configurations
1693,8302-8306-8308-8310-8312-8316-8317-8318-8321-8324-8326-8327-8328-8329-8332-8336-8337-8339-8340-8345-8346-8348-8349-8350-,
1694,8302-8303-8304-8307-8308-8311-8312-8313-8316-8318-8319-8321-8322-8323-8324-8325-8328-8329-8331-8334-8336-8339-8343-8344-8345-8347-,
1695,8302-8306-8309-8314-8315-8316-8317-8319-8320-8321-8322-8323-8324-8325-8330-8331-8334-8336-8338-8341-8342-8344-8346-8347-8350-,
1696,8303-8306-8308-8310-8312-8314-8316-8317-8323-8326-8327-8328-8330-8331-8332-8333-8338-8339-8342-8345-8346-,
1697,8303-8304-8306-8308-8309-8310-8311-8313-8316-8317-8320-8321-8322-8323-8325-8326-8331-8332-8335-8336-8338-8339-8342-8344-8345-,
1698,8302-8303-8304-8307-8310-8313-8316-8317-8318-8321-8322-8323-8325-8327-8328-8329-8331-8332-8333-8338-8341-8343-8344-8345-8346-8350-,
1699,8301-8302-8303-8305-8306-8308-8309-8310-8313-8325-8326-8330-8331-8332-8333-8334-8335-8338-8341-8342-8343-8344-8347-8348-,
1700,8302-8303-8304-8305-8306-8307-8308-8312-8317-8319-8321-8322-8323-8324-8326-8327-8328-8329-8333-8334-8335-8337-8338-8339-8341-8344-8345-8346-8347-8349-,
1701,8303-8304-8306-8307-8308-8309-8310-8311-8313-8314-8315-8317-8318-8319-8321-8323-8324-8328-8329-8331-8332-8333-8334-8335-8338-8339-8340-8343-8344-8346-8347-8348-,
1702,8301-8303-8306-8309-8310-8313-8314-8317-8318-8319-8321-8323-8325-8326-8327-8328-8333-8334-8338-8340-8343-8345-8346-8347-8350-,
1703,8302-8303-8304-8306-8308-8310-8311-8313-8314-8318-8319-8321-8324-8327-8329-8331-8333-8334-8335-8341-8343-8345-8346-8347-8348-8349-8350-,
1704,8304-8306-8307-8308-8310-8311-8313-8314-8316-8321-8322-8324-8325-8326-8329-8331-8332-8336-8338-8339-8340-8341-8342-8344-8347-8348-8349-8350-,
