Observable Num, Coverable Configurations
3301,15002-15003-15004-15006-15007-15009-15010-15011-15014-15016-15019-15021-15022-15023-15024-15026-15032-15035-15036-15037-15038-15040-15042-15043-15046-15047-15048-,
3302,15004-15005-15006-15008-15010-15012-15014-15021-15023-15025-15027-15028-15030-15031-15032-15033-15035-15037-15039-15043-15044-15045-15046-15047-15048-,
3303,15002-15003-15004-15005-15006-15008-15009-15010-15013-15016-15018-15025-15026-15028-15029-15031-15032-15034-15036-15037-15039-15042-15043-15048-15049-,
3304,15001-15002-15004-15005-15006-15007-15011-15012-15015-15016-15017-15018-15019-15020-15024-15025-15026-15031-15035-15036-15038-15040-15042-15044-15046-15047-15048-15049-15050-,
3305,15002-15004-15008-15011-15013-15017-15018-15024-15025-15029-15030-15032-15033-15036-15037-15038-15040-15042-15043-15045-15048-15050-,
3306,15001-15005-15006-15008-15010-15012-15013-15014-15016-15017-15018-15021-15022-15025-15033-15034-15038-15039-15043-15044-15045-15046-15049-,
3307,15005-15006-15007-15008-15009-15010-15011-15014-15016-15018-15019-15021-15023-15027-15030-15032-15034-15036-15037-15040-15042-15044-15045-15046-15047-15048-,
3308,15005-15006-15016-15017-15018-15019-15022-15024-15025-15026-15027-15029-15033-15036-15039-15040-15041-15042-15043-15044-15045-15047-15048-,
3309,15001-15002-15003-15006-15008-15010-15011-15012-15014-15016-15017-15020-15022-15023-15026-15030-15031-15032-15033-15034-15037-15038-15039-15043-15050-,
3310,15001-15003-15004-15007-15008-15009-15012-15013-15014-15016-15017-15018-15020-15021-15025-15026-15028-15029-15031-15032-15034-15036-15037-15039-15042-15045-15046-15047-15048-15050-,
3311,15002-15004-15005-15006-15013-15016-15022-15023-15025-15027-15029-15031-15032-15033-15035-15039-15041-15049-15050-,
3312,15001-15002-15006-15008-15009-15010-15011-15014-15015-15017-15023-15025-15026-15028-15029-15030-15032-15033-15034-15035-15036-15037-15040-15041-15042-15043-15047-15050-,
3313,15003-15004-15006-15007-15011-15013-15016-15019-15021-15023-15029-15030-15031-15032-15033-15035-15036-15040-15042-15043-15045-15046-15047-15049-15050-,
3314,15002-15003-15004-15006-15007-15010-15012-15013-15015-15018-15019-15020-15021-15022-15026-15029-15031-15033-15037-15038-15039-15040-15041-15042-15043-15044-15046-15048-15050-,
